Country,Boat Number,Helm,Crew,Club,Race 1,Points,Place
GER,7860,Christof Becker,Tim Böger,,,"2,9",1
GER,7927,Brigitte Preuss,Rolf Bertenrath,,,"5,6",2
GER,7548,Hauke Rathjens,Jers,,,"12,9",3
GER,7817,Meyer,Dirk Dehncke,,,"14,6",4
GER,7*,Carsten Hammer,Rolf Meier,,,"15,9",5
GER,7781,Andreas Thomsen,Harder,,,20,6
GER,7693,Heiner Lienke,Klaus Stammerjohann,,,"23,6",7
GER,7649,Matthias Kuchinke,Vierth-Ruessel,,,25,8
GER,8005,Berend Terveer,Ulrich Ellenbeck,,,30,9
GER,703*,Schlomka,Schlomka,,,31,10
GER,548*,Friederichs,Weishaupt,,,32,11
GER,6938,Jürgen Eigenbrod,Kai Jeschke,,,33,12
GER,8054,Frommholz,Seemann,,,40,13
GER,6685,Thomas Zager,Andreas Kleist,,,43,14
GER,7861,Priegann,Priegann,,,44,15
GER,6870,Mittermayer,Dietze,,,46,16
GER,6682,Niss,Niss,,,48,17
GER,7584,Bernd Kowalzig,Claus Tiedemann,,,48,18
GER,7037,Mechthild BrunsClaus Bornhorst,,60,19
GER,6561,Tiden,Stehmeier,,,60,20
