Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GER,7637,Jörn Erdmann,Sven Harder,SVWS/NRV,,,,,,,,,1
GER,703*,Norman Schlomka,Jens-Peter Schlomka,TSVS,,,,,,,,,2
GER,7693,Heiner Lienke,Klaus Stammerjohann,WSCW,,,,,,,,,3
GER,7219,Bernd Kowalzig,Claus Tiedemann,SCE/POCH,,,,,,,,,4
GER,8005,Berend Terveer,Ulrich Ellenbeck,ASV,,,,,,,,,5
GER,7817,Stefan Lobbe,Dirk Dehncke,TSVS,,,,,,,,,6
GER,7462,Dieter Cordes,Christian Stienen,CKA/SVM,,,,,,,,,7
GER,6685,Thomas Zager,Andreas Kleist,BSV,,,,,,,,,8
GER,7757,Frank Dieckmann,Mark Dieckmann,NRV,,,,,,,,,9
GER,7548,Hauke Rathjens,Frank Uhlemann,KYC,,,,,,,,,10
GER,6681,Hartwig Friedrichs,Jens Weishaupt,KYC,,,,,,,,,11
