Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
GER,5786,Roland Wiedemann,Dagmar Harrer,STSC,5,1,1,5,1
GER,7442,Christoph Hessel,Hans Hessel,SVOS,3,2,2,"6,1",2
GER,7*,Jochen Gern,Wolfgang Hofmeister,SM Boden,2,4,3,"8,5",3
GER,7237,Hans-Albert Noeldeke,Oliver Engelhardt,SVE,6,9,4,19,4
GER,7136,Helmut Wiedemann,Peter Wiedemann,STSC,1,5,DNS,20,5
GER,6777,Nils Domborowsky,Marcus Domborowsky,SCH Hersbruck,9,6,6,21,6
GER,6995,Kai Loeblein,Thomas Rupp,YCHO,11,3,7,21,7
GER,6225,Bernd Mildenberger,Klaus Winter,S6H ,10,8,5,23,8
GER,4686,Werner Haase,Astrid Luettge,SCAN,7,10,8,25,9
GER,7778,Werner Lange,Oliver Lange,EFli-R6,8,7,DNS,30,10
GER,6837,Mayer Eberhard,Heinz Volk-Uhlmann,se,4,DNF,DNS,32,11
GER,4983,Norbert Rembold,Rainer Schneider,SVE,DNF,11,9,"33,5",12
GER,7854,Klaus Eifler,Karin Koehler,SVOS G,DNF,DNF,DNS,"41,5",13
GER,7274,Gerhard Klar,Edith Klar,SGT Thalfingen,DNF,DNF,DNS,"41,5",14
GER,4985,Josef Merz,Rainer Kerner,,DNF,DNS,DNS,"43,5",15
