Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points Total,Place
GER,7659,Lutz Pietrass,Wolfgang Rosteck,YCH,,,,"4,5",1
GER,8002,Harald Busch,Peter Micke,SCMS,,,,"7,6",2
GER,6505,Roeder,Ebeling,RTGW,,,,"10,5",3
GER,7963,Wolfgang Wilde,Oliver Wirz,DHH,,,,"14,9",4
GER,7451,Ewald Brzoska,V.D.Linde,YCW,,,,16,5
GER,7747,Gernot Meyer,Joachim Bobbert,EKS,,,,17,6
GER,5726,Roos,Roos,SVWU,,,,21,7
GER,7354,Harald Wolff,Michael Latz,SCS,,,,22,8
GER,7927,Brigitte Preuss,Rolf Bertenrath,DSCU,,,,22,9
GER,7693,Heiner Lienke,Klaus Stammerjohann,WSCW,,,,35,10
GER,7742,Schaar,V.D.Heide,ROCK,,,,35,11
GER,7587,Walter Kolm,Fleischmann,BWN,,,,35,12
GER,7526,Wirtz,Bronold,SKU,,,,37,13
GER,7989,M.Hoppe,T.Wirz,DHH,,,,43,14
GER,7732,Dirk Kuhnhenn,Kelm,UCH,,,,44,15
GER,5779,Jörg Hinnen,Jonny Norder,BWN,,,,"46,5",16
GER,7130,Sobott,Mengel,BCWN,,,,49,17
GER,5957,Braecker,Muller,SVWU,,,,51,18
GER,6853,Clauberg,Huebner,SVWU,,,,"58,5",19
GER,7838,Gellrich,Lubbe,TVJK,,,,"58,5",20
