Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points Total,Place
DEN,7902,Svend-Erick Molbech,Poul Strange,,5,5,3,2,1,"18,7",1
DEN,8*,Jørgen Holm-Nielsen,Finn Jensen,,4,12,2,1,9,26,2
FRA,7931,Hervé Wattine,Louis-Michel Ces,,DSQ,1,5,5,7,33,3
SUI,7975,Urs Scherrer,Roger Fischer,,2,17,1,23,10,42,4
SUI,8003,Werner Müller,Frederik Huck,,3,36,8,12,3,"43,4",5
FRA,7933,Philippe Boite,Jean-Luc Muzellec,,7,39,9,3,5,"43,7",6
FRA,7870,Gilbert Vinches,Francois Padovani,,10,4,15,7,15,58,7
FIN,7809,Peter Flinkman,Otto Toivanen,,9,3,21,9,27,"62,7",8
SUI,7827,Roger Oswald,Christian Wiskemann,,23,2,16,10,23,69,9
GER,8002,Harald Busch,Peter Micke,,12,16,36,6,19,"76,7",10
DEN,7766,Eli Schröder,Per Scou,,17,13,6,19,43,"78,7",11
FRA,7847,Francis Doerenbecher,Gérard Guthman,,13,10,26,14,21,82,12
SUI,7953,Stephan Rueger,Peter Seitz,,11,22,23,11,17,85,13
FRA,8000,Marcel Buffet,Marc Bourdon,,25,52,17,24,2,87,14
SUI,7*,Carsten Hammer,Rolf Meyer,,14,33,22,22,6,"87,7",15
GER,7963,Wolfgang Wilde,Oliver Wirz,,26,11,12,15,26,88,16
SUI,7395,Pierre-Andre Bonjour,J C Burdet,,20,20,14,20,13,91,17
GER,7659,Lutz Pietrass,Wolfgang Rosteck,,27,14,32,17,18,100,18
GER,7860,Christof Becker,Tim Böger,,16,18,DSQ,13,30,101,19
DEN,8030,Petersen B. Storm,Petersen Storm,,8,53,7,DSQ,20,112,20
DEN,8020,Jacob Bojsen-Møller,Adam Malling,,18,19,AB,37,14,112,21
GER,7732,Dirk Kuhnhenn,Till Reckert,,,z4,11,36,8,113,22
FRA,8008,Jean Marc Paquotte,Serge Ehrhart,,35,AB,42,8,11,120,23
SUI,7974,Jacqueline Vandeveld,T Vandeveld,,33,15,18,34,35,124,24
GER,7927,Brigitte Preuss,Rolf Bertenrath,,37,28,25,DSQ,12,126,25
FRA,7602,Michel Rimbert,Michel Bouvier,,34,6,39,25,45,"127,7",26
SUI,7749,Thomas Jundt,Philippe Schiller,,53,35,19,DSQ,4,133,27
SUI,7420,Alwin Arnold,Philippe Bertherat,,45,26,13,33,39,135,28
GER,7649,Matthias Kuchinke,Delf Stoben,,60,56,AB,47,49,136,29
FRA,7940,Guy De Restrepo,Alain Beltzung,,15,49,35,16,AB,139,30
FRA,7560,Marc Beauvalet,Germain Gillet,,22,7,AB,31,AB,141,31
GER,7271,Stefan Schollmayer,Roman Theisen,,30,37,20,DSQ,31,142,32
GER,7942,Martin Kehr,Michael Jaeschke,,28,43,29,21,AB,145,33
GER,7354,Harald Wolff,Michael Latz,,36,47,10,42,34,146,34
SUI,7921,Josef Zuppiger,Daniel Brun,,21,AB,28,18,AB,148,35
DEN,8031,Lars Christensen,Jan Feddersen,,19,DSQ,27,DSQ,16,151,36
SUI,7994,Stephan Räbsamen,Meret Boog,,40,9,41,38,50,152,37
SUI,7960,Markus Bohren,Beat Waser,,6,DSQ,4,DSQ,AB,"153,7",38
SUI,7812,Urs Marti,Martin Bäbler,,31,21,46,35,AB,157,39
SUI,7633,Marc Collomb,Yvan de Rham,,24,25,55,30,AB,158,40
FRA,7529,Lortat-Jacob Antoine,J. Delvaux,,38,31,38,39,28,159,41
FRA,7734,Francis Macheboeuf,Jean Michel Chabout,,42,23,31,DIS,42,162,42
