Nation,Boat no,Helm,Crew,Club,Race 1,Points,Place
POL,7539,Jakub Pawluk,Piotr Żółtowski,,,,1
POL,0,Michał Korneszczuk,Jakub Klimek,,,,2
POL,7020,Dorota Dajkowska,Łukasz Stawski,,,,3
POL,0,Radosław Grabicki,Piotr Juckiewicz,,,,4
