Nation,Boat,Helm,Crew,Club,Race 1,Points,Place
FRA,4420,Nicolas Loday,Nicolas Fedorenko,CNBP,,57,1
FRA,4390,Bruno Levesque,Jean-Luc Bapst,SNO,,59,2
FIN,4335,Kari Wilén,Jyri Wilén,NJK,,59.7,3
GBR,4382,Derek Farrant,Bev Moss,Hastings,,64,4
GBR,4450,John Loveday,Terry,Ogston,,65,5
SWE,3991,Ulf Andersson,Lun Quist,KSSS,,71.7,6
SWE,3956,Bennett Thörner,Thörner,MSS,,75.7,7
SWE,4316,Stefan Sjostrom,Reine Andersson,HJ BK,,76.4,8
FRA,3596,Patrick Haegeli,Brodard,CVP,,85.7,9
GBR,4321,Robert Napier,Geoff Rae,WCSC,,89,10
,,,,,,,11
FRA,4139,Marcel Buffet,Stéphane Fleury,CVP,,93,12
,,,,,,,13
,,,,,,,14
GBR,4083,John Turngoose,,,,,15
GBR,4079,Hugh Bourn,,,,,16
,,,,,,,17
FRA,4217,Le Troquer,Dombrovski,YCPR,,130,18
FRA,4341,P. Nesseler,Ph. Nesseler,CVE,,135,19
,,,,,,,20
,,,,,,,21
FRA,4325,Oeuvrard,Mageux,CVP,,147,22
,,,,,,,23
FRA,4460,Bouet,G. Levesque,SNO,,161,24
,,,,,,,25
,,,,,,,26
FRA,3732,Reynier,Thierry Moreau-Defarges T.,CVP,,171,27
,,,,,,,28
,,,,,,,29
FRA,4500,Dan Ielou,Gillet,CVP,,184,30
,,,,,,,31
FRA,4332,Bouvet,Chaigne,CNBP,,188,32
,,,,,,,33
FRA,4224,P. Gadel,Serane,CN VC,,189.7,34
,,,,,,,35
FRA,3949,Nicolas,Courty,C VT,,194,36
,,,,,,,37
,,,,,,,38
,,,,,,,39
,,,,,,,40
,,,,,,,41
,,,,,,,42
,,,,,,,43
FRA,4478,F. Riche,B. Riche,SRD,,213,44
,,,,,,,45
,,,,,,,46
,,,,,,,47
,,,,,,,48
,,,,,,,49
,,,,,,,50
,,,,,,,51
,,,,,,,52
,,,,,,,53
,,,,,,,54
,,,,,,,55
,,,,,,,56
FRA,4122,Guillaume,Richard,SNM,,240,57
,,,,,,,58
FRA,4188,Lacaza,Menanteau,CNC,,253,59
,,,,,,,60
,,,,,,,61
,,,,,,,62
,,,,,,,63
,,,,,,,64
,,,,,,,65
,,,,,,,66
,,,,,,,67
,,,,,,,68
,,,,,,,69
,,,,,,,70
,,,,,,,71
,,,,,,,72
,,,,,,,73
,,,,,,,74
,,,,,,,75
