Nation,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,
CAN,8192,Phil Cragg,Reto Corfu,KYC/RVYC,1,1,5*,3,1,1,7,1
USA,7156,Erik Coburn,Gabe Hill,Sudden Valley Yacht Club,2,4*,4,2,2,2,12,2
USA,8868,Cody Kowalski,Jon Henderson,,7*,3,2,1,4,3,13,3
USA,8823,Mats Elf,Richard Mundell,CYC Seattle,3,2,1,5,3,18*DNC,14,4
USA,8616,Lee Laney,Josh Dyck,Bellingham Yacht Club,9,13*,7,4,5,4,29,5
USA,6136,Miles Johannessen,Jack Thompson,BYC,10,18*DNF,9,8,6,18 DNF,33,6
CAN,8866,Cynthia Des Brisay,Charles Hansen,Kitsilano Yacht Club,5,9,3,6,18*DSQ,18 DNC,41,7
USA,8868,Piper Dunlap,Dan Ginther,PTSA,6,5,6,7,18*DSQ,18 DNC,42,8
CAN,8755,Brian Trainor,Evan Jennings,Kitsilano Yacht Club,8,6,13,9,7,18*DNC,43,9
USA,8960,Bruce Vandeventer,Bob Rinker,CYC Seattle,11,10,8,11,9,18*DNC,49,10
USA,7039,Alexia Fischer,Chris Freye,WYC,13,11,11,18*DNF,10,18 DNC,63,11
USA,8017,Michael Poulos,Jon Seestrom,BYC,12,12,12,10,18*DNS,18 DNC,64,12
USA,7206,Anne Fitzpatrick,Chris Pittack,CYC Seattle,14,7,18*DNC,18 DNS,8,18 DNC,65,13
USA,7153,Colin Dunphy,Alex Simanis,CYC Seattle,4,8,18*DNC,18 DNS,18 DNS,18 DNC,66,14
USA,8818,James Holstine,Mike Powell,BYC,17 DNF,14,10,12,18*DNF,18 DNC,72,15
USA,6499,Kevin Maguire,Ted Fernau,BYC,18*DNC,15,14,18 DNS,18 DNS,18 DNC,83,16
USA,7610,Christopher Hubbard,Reid Shaffer,CYC Seattle,17 DNF,16,16 DNF,18*DNS,18 DNS,18 DNC,88,17
