Nation,Sail,Skipper,Crew,Boat,1,2,3,4,Points,Pos
USA,9003,Henry Amthor,Jesse Falsone,Jesse & Henry,1,3,2,2,8.00,1
USA,7606,Brendan Connell,Brendan Heusler,B Squared,2,1,3,7,13.00,2
USA,8883,Stergios Papadakis,Michael Renda,Janes Addiction,4,5,7,1,17.00,3
USA,8850,Doug Watson,Gabe Watson,,5,2,5,5,17.00,4
IRL,8987,Peter Scannell,John Dunlea,Lookadatla,3,6,4,6,19.00,5
USA,9095,Macy Nelson,Kelsey Averill,Highway 95 Revisited,8,8,1,3,20.00,6
USA,8919,Bryan Richardson,Lauren Schoene,Safety Word,6,4,6,4,20.00,7
