Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GER,8032,Jörn Erdmann,Burkhard Vierth,"NRV,SVWS. . ",2,2,,,,,,"3,2",1
GER,8226,Tim Böger,Klaus Stammerjohann,"HSC,WSCW. . ",1,5,,,,,,5,2
GER,8227,Stefan Lange,Holger Jess,WSCW,5,4,,,,,,9,3
GER,7817,Heinz Balters,J. Weißhaupt,KYC,12,1,,,,,,12,4
GER,8189,Carl-Peter Forster,Anselm Bracht,"BYC. . :,. . . ",7,6,,,,,,13,5
GER,8163,Stefan Pavel,Martin Bernauer,RSVW,4,9,,,,,,13,6
GER,8075,Hauke Rathjens,Frank Uhlemann,KYC,3,11,,,,,,"13,9",7
GER,7957,Ralf-Joachim Stoll,Sebastian Dörr,SCSaar. . . . ,9,7,,,,,,16,8
GER,7996,Jens Hartwig,Till Reckert,TSC,10,12,,,,,,22,9
GER,7781,Andreas Beckmann,Wolfgang Pollex,"KYC,RVE. . . ",16,8,,,,,,24,10
GER,7549,Peter Kohlhoff,Steffen Achenbach,WYC,14,14,,,,,,28,11
GER,7963,Carsten Rathgen,A. Halm,,13,15,,,,,,28,12
GER,8224,Thomas Zager,Andreas Kleist,BSV,19,10,,,,,,29,13
DEN,8108,Bernd Kowalzig,Claus Tiedemann,SCB,6,26,,,,,,32,14
GER,8235,Axel Lenderoth,Jo Ellerbeck,SVW,22,13,,,,,,35,15
GER,7855,Jens-Peter Schlomka,Norman Schlomka,TSVS,8,27,,,,,,35,16
GER,7589,Adalbert Kluck,Gerhard Schmidt,TSVS,20,17,,,,,,37,17
GER,7550,André Zander,Peer Jenssen,ETuF,17,22,,,,,,39,18
GER,7747,Gernot Meyer,Joachim Bobbert,"EKSG,WSB. . ",23,18,,,,,,41,19
GER,7691,Ulrich Müller-Menzel,Michael Kieselowa,WSRM,15,28,,,,,,43,20
GER,7955,Holger Franke,,TSVS,28,16,,,,,,44,21
GER,7137,M. Beilken,A. Kirchmann,"SLSV,SCStM",25,20,,,,,,45,22
GER,8166,Rudolf Baalmann,,WSVB,27,19,,,,,,46,23
GER,7275,Thomas Cramer,Ewald Brzoska,YCW,11,36,,,,,,47,24
GER,6611,Franco Weichel,Hasso Hoffmeister,HSC,18,31,,,,,,49,25
GER,7970,Kai Löblein,Thomas Rupp,YCHo,25,24,,,,,,50,26
GER,8253,Gunter Froese,Carl Riebe,"EStM,HYC. . ",DNF,3,,,,,,"52,9",27
GER,7861,R. Priegann,Axel Priegann,RSVW,32,21,,,,,,53,28
GER,7539,Wolfgang Thieschäfer,Elke Thieschäfer,YCZ,24,30,,,,,,54,29
GER,8121,Dieter Cordes,Christian Stienen,CKA,31,25,,,,,,56,30
GER,6770,Karl-Heinz Hilgers,Wolfgang Bogacki,OSCU,34,23,,,,,,57,31
GER,7037,Mechthild Bruns,Claus Bornhorst,,30,29,,,,,,59,32
GER,7674,Gerhard Meyer,Lars Meier,SVSS,21,38,,,,,,59,33
GER,7778,W. Fischer,Wolfgang Stückl,DTYC,29,33,,,,,,62,34
GER,7860,Harald Wefers,Stefan Köchlin,SKF,33,32,,,,,,65,35
GER,7819,Heinrich Tetzlaff,J. Sattler,LYC,35,34,,,,,,69,36
GER,6681,Jan Peter Stölken,Jörg Gröne,ASC,36,35,,,,,,71,37
GER,8162,Heiko Bühring,Maggy Bühring,YCZ,37,39,,,,,,76,38
GER,7649,Hans-Heinrich Rix,H. -Chr. Stühm,RSVW,38,41,,,,,,79,39
GER,7354,Jörg Hinnen,Jonny Norder,BCWN,39,42,,,,,,81,40
GER,7327,Petra Abel,Harald Abel,DHH,45,37,,,,,,82,41
GER,8225,Engelbert Theben,,,42,40,,,,,,82,42
GER,7597,Detlef Ihmels,Barbara Wand,SVPb,40,43,,,,,,83,43
GER,6685,H. Kriehn,H. Meier,LYC,44,44,,,,,,88,44
GER,8205,Fritz Sobott,J. Huth,BCWN,43,45,,,,,,88,45
GER,5896,A. Stalder,Oliver Schürmann,GSC,46,46,,,,,,92,46
GER,8178,Torsten Fildebrandt,Holger Rudloff,SVSt,41,DNC,,,,,,94,47
GER,7443,Anton Hölscher,Frank Hölscher,SCAN,48,47,,,,,,95,48
GER,7528,Sigrun Thiemann,M. Riechert,SVPb,47,DNC,,,,,,100,49
GER,7130,D. Ritter,G. Ramaker,BCWN,49,DNC,,,,,,102,50
