Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GER,7957,Ralf-Joachim Stoll,Sebastian Dörr,,,,,,,,,"1,6",1
GER,6838,Ernst Pöckl,Karin Pöckl,,,,,,,,,"5,6",2
GER,7778,Thomas Schmidt,Wolfgang Stückl,,,,,,,,,"5,8",3
GER,8098,Robert Wisolek,Roman Summerling,,,,,,,,,9,4
GER,7765,Wolfgang Seifert,Manuela Seifert,,,,,,,,,11,5
GER,8150,Werner Lange,Thomas Mair,,,,,,,,,13,6
GER,7764,Peter Daferner,Verner Gaertner,,,,,,,,,14,7
GER,7908,Jörg Dähne,Bernhard Kern,,,,,,,,,18,8
GER,8148,Guenter Kerkloh,Oliver Huschke,,,,,,,,,19,9
GER,7854,Franscisco Sanguino-Petersen,Annette Greune,,,,,,,,,22,10
GER,5597,Andreas Eder,Bernd Lautenschütz,,,,,,,,,22,11
GER,7661,Jens Scharbert,Anne Scharbert,,,,,,,,,26,12
GER,7237,Peter Wehrle,Bernd Daubermann,,,,,,,,,26,13
GER,755*,Horst Ristow,Dagmar Bosch,,,,,,,,,27,14
GER,7105,Klaus Frchmader,Gierd Berner,,,,,,,,,28,15
GER,7133,Harald Becker,Fin Hansen,,,,,,,,,29,16
GER,7856,Helmut Spiske,Peter Spiske,,,,,,,,,31,17
GER,7645,Michael Schwaiger,Bernd Scherller,,,,,,,,,32,18
GER,4731,Herwig Holik,Lydia Greisreiter,,,,,,,,,"36,5",19
GER,7891,Dieter Lange,Frank Hoffmann,,,,,,,,,40,20
