Nation,Boat,Helm,Crew,Club,Race 1,Points,Place
DEN,500,Paul Bert Elvstrøm,Pierre Poullain,,,9369,1
FRA,473,Didier Poissant,C. Maury,,,6772,2
FRA,19,M. Mannequin,P. Robert,,,6457,3
FRA,400,Jean-Claude Cornu,Daniel Gouffier,,,5889,4
GBR,17,Bruce Banks,G.Wheeler,,,4786,5
FRA,477,Jacques Baptiste Lebrun,P Harinkcouck,,,4624,6
FRA,247,Bernard Moret,Frères,,,4555,7
FRA,308,Patrick Wolff,Marcel Buffet,,,4541,8
FRA,496,E. Lebec,F. Lebec,,,4496,9
GBR,314,D. Court Hampton,Buchanan,,,4387,10
FRA,370,H. Samuel,D. Perroud,,,4150,11
GBR,88,Hodshon,Nye,,,3975,12
FRA,410,Richard Roullet,Bossuet,,,3971,13
FRA,321,J. Cettier,Ph. Sourdille,,,3808,14
FRA,593,J. Vognes,Bouchet,,,3411,15
FRA,485,R. Tiriau,P. P. Bistuer,,,3411,16
BEL,14,Van den Abeele,Van den Abeele,,,3204,17
FRA,521,C. Flahault,Flahault,,,3046,18
GBR,616,R. J. J. Field,R. Childs,,,2870,19
FRA,2,F. Laverne,P. Alves,,,2690,20
FRA,279,E. Repetto,Mauger,,,2548,21
