Nation,Boat NO,Helm,Crew,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place,
FRA,8402,Boite,Muzelec,,,,,,,7,1
GBR,8624,Ian Pinnell,Gorremans,,,,,,,9,2
BEL,8536,Meyendonck,Lehouck,,,,,,,12,3
FRA,8447,Jean-Guy Puissant,Seguelas,,,,,,,13,4
BEL,8488,de Froidmont,Maertens,,,,,,,21,5
BEL,8463,Van Hemeldonck,?,,,,,,,33,6
FRA,6593,Philippe Blanchard,Blattner,,,,,,,36,7
GBR,8510,Wedge,Gordon,,,,,,,38,8
FRA,8400,Jouany,Nigon,,,,,,,38,9
FRA,8509,Muh,Kerauchren,,,,,,,41,10
FRA,8455,Buffet,Trouillet,,,,,,,41,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
,,,,,,,,,,,16
,,,,,,,,,,,17
,,,,,,,,,,,18
,,,,,,,,,,,19
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,22
,,,,,,,,,,,23
,,,,,,,,,,,24
,,,,,,,,,,,25
,,,,,,,,,,,26
,,,,,,,,,,,27
,,,,,,,,,,,28
,,,,,,,,,,,29
,,,,,,,,,,,30
,,,,,,,,,,,31
,,,,,,,,,,,32
,,,,,,,,,,,33
,,,,,,,,,,,34
,,,,,,,,,,,35
,,,,,,,,,,,36
,,,,,,,,,,,37
,,,,,,,,,,,38
,,,,,,,,,,,39
,,,,,,,,,,,40
,,,,,,,,,,,41
,,,,,,,,,,,42
