Nation,Boat No,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pts.,Pos.
USA,8191,M. Nelson,P. Alarie,,1,5,4,6,1,3,13.5,1
CAN,8264,J. Boyd,A. Tenhove,,4,7,1,1,5,6,16.5,2
USA,8263,A. Meller,A. Johnson,,8,2,2,3,6,11,21,3
USA,8083,N. Fowler,D. Dyson,,2,3,3,12,3,14,23,4
USA,7201,B. Edwards,Don Smith,,12,8,6,4,2,16,32,5
USA,7876,Tyler Moore,C. Anderson,,5,4,7,9,8,10,33,6
USA,8013,M. Punnet,S. Ikle,,11,1,8,2,20,12,33.75,7
USA,7092,K. Elliot,A. Kilgore,,10,9,15,7,10,1,36.75,8
USA,7879,J. Phillips,L. Crane,,14,16,5,5,12,4,40,9
USA,7318,N. Trotman,M. Mills,,3,6,21,8,16,13,46,10
,,,,,,,,,,,,11
,,,,,,,,,,,,12
,,,,,,,,,,,,13
,,,,,,,,,,,,14
,,,,,,,,,,,,15
,,,,,,,,,,,,16
,,,,,,,,,,,,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
,,,,,,,,,,,,21
,,,,,,,,,,,,22
,,,,,,,,,,,,23
,,,,,,,,,,,,24
,,,,,,,,,,,,25
,,,,,,,,,,,,26
,,,,,,,,,,,,27
,,,,,,,,,,,,28
,,,,,,,,,,,,29
,,,,,,,,,,,,30
,,,,,,,,,,,,31
,,,,,,,,,,,,32
,,,,,,,,,,,,33
