Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points,Netto,Place
FIN,8924,Raimo Raita,Juha Nurmela,Vene-71,1,-12,3,1,1,1,Maxit,19,7,1st
FIN,8812,Matti Pentti,Otto Toivanen,HSK/TPS,2,1,1,2,2,-3,,11,8,2nd
FIN,8585,Henri Räty,Atte Piiroinen,N/HSK,4,2,2,3,-6,2,,19,13,3rd
FIN,8678,Eino Laitinen,Thomas Castren,HSS/ESF,3,7,-8,4,5,4,,31,23,4th
FIN,8923,Kenneth Thelen,Michael Wolontis,BS,8,3,5,6,3,(14 DNS),,39,25,5th
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK/KoPu,6,4,4,-9,9,6,,38,29,6th
FIN,8659,Kira Maisniemi,Matti Dillemuth,HSK,5,5,6,-8,7,7,Lennart,38,30,7th
FIN,8620,Markus Vikar,Ossi Karlström,SSJ/TRIP,9,10,(14 DNF),7,4,9,,53,39,8th
FIN,8405,Eero Niemitalo,Tapani Mäkinen,BSF,7,8,(14 DNF),10,10,5,,54,40,9th
FIN,8320,Tatu Miettinen,Tapsa Hyysalo,LPS,10,6,7,-11,11,8,,53,42,10th
FIN,7809,Maria Kuosa,Jussi Kuosa,N,12,11,(14 DNF),5,8,10,,60,46,11th
FIN,7742,Lauri Alitalo,Teemu Heljo,N,11,9,(14 DNF),14 DNC,14 DNC,14 DNC,,76,62,12th
FIN,8873,Ari Peltoniemi,Tapani Elovirta,HSK,(14 DNC),14 DNC,14 DNC,14 DNC,14 DNC,14 DNC,AT,84,70,13th
