Nat,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,Boat,Total,Net,Rank
CAN,8264,Jeff Boyd,Martin ten Hove,KYC,2,2,[10 DNC],1,3,Desperate Measures,18,8,1st
CAN,8410,Clarissa Bush,Chris Gillies,NSC,5,1,[10 DNC],3,2,Bandersnatch,21,11,2nd
CAN,8735,Brent Beninger,Tom Janidlo,NSC,7,6,[10 DNC],2,1,Spagetti Factory,26,16,3rd
CAN,8233,Marie Gendron,David Brown,NSC,6,5,1,[10 DNF],4,,26,16,4th
CAN,6910,John Bryant,Ron Hughes,NSC,3,4,[10 DNC],4,5,Toil & Trouble,26,16,5th
CAN,8696,Debbie Ashby,Dave Ashby,NSC,1,3,[10 DNC],10 DNF,6,Loose Unit,30,20,6th
CAN,8073,Jon Clark,Drew Casterton,NSC,[8],7,2,5,8,,30,22,7th
CAN,8288,Angus Ross,Nora Hoffer,OHCC,9,8,[10 DNC],6,7,Paramour,40,30,8th
CAN,8368,Jim Dingle,Chris Garrard,NSC,4,[10 DNC],10 DNC,10 DNC,10 DNC,Suasion V,44,34,9th
