Boat,Skipper,Crew – 505,Race1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race.9,Total,Net (2 drops),Pos’n
CAN,8696,Debbie Ashby,Dave Adams,1,1,1,2*,1,1,1,2*,1,11,7,1
CAN,7605,Renka Gesing,Adam Gesing,3*,2*,2,1,2,2,2,1,2,17,12,2
CAN,8288,Angus Ross,Tim Willett,2,3,3,3,4*,3,4,4,5(DNS)*,31,22,3
CAN,0,Andrew Gesing,Ian Marentette,4*,4*,4,4,3,4,3,3,3,32,24,4
