Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,Total,Nett,Place
CAN,7610,Cynthia DesBrissay,Charles Hansen,,(1),1,1,1,1,1,1,1,8,7,1
CAN,7353,John Hayley,Ian Plumbley,,(2),2,2,2,2,2,2,2,16,14,2
CAN,7771,Bogdan Istroute,Adam Goodesham,,3,4,4,3,(5 DNC),3,3,3,28,23,3
CAN,7607,Kevin Washbrook,Alex Francis,,4,3,3,4,(5 DNC),5 DNC,5 DNC,5 DNC,34,29,4
