Nation,Sail,Skipper,Crew,,R1,R2,R3,R4,R5,Total,Position
CAN,8264,Jeff Boyd,Gord McIlquham,,1,0 Abandoned,1,1,1,4,1
,8645,Marg Hurley,Christian DeChamplain,,2,0 Abandoned,2,2,4,10,2
,8600,Marie Gendron,Stephane Poirier-Defoy,,3,0 Abandoned,3,3,6,15,3
,8410,Clarissa Bush,Chris Gillies,,7,0 Abandoned,5,4,3,19,4
,7605,Renka Gesing,Adam Gesing,,5,0 Abandoned,8,5,2,20,5
CAN,8735,Brent Beninger,Greg Coffree,,6,0 Abandoned,4,7,5,22,6
CAN,8696,Deb Ashby,Dave Adams,,4,0 Abandoned,7,10,7,28,7
,7823,Mike Armstrong,Colin Forber,,9,0 Abandoned,6,8,9,32,8
,8467,Ian Marentette,Andrew Gesing,,10,0 Abandoned,9,6,8,33,9
,8288,Angus Ross,Dave Ross,,8,0 Abandoned,10,9,10,37,10
,8587,Pete Reed,Jeff Wynberg,,11,0 Abandoned,11,11,12,45,11
