Nation,Boat NO,Helm,Cerew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Netto,Place
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,1,1,1,1,1,-2,7,5,1
FIN,8678,Tatu Miettinen,Ville Tarvo,EMK,-4,2,4,3,3,1,17,13,2
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,2,4,2,2,-5,3,18,13,3
FIN,9069,Joni Juuri,Tuomas Laurila,EMK,-5,3,3,5,2,4,22,17,4
FIN,8466,Hannu Pöyry,Matti Dillemuth,VVK,3,6,6,4,-7,7,33,26,5
FIN,9212,Thomas Held,Hasse Björkestam,BSS,-6,5,5,6,6,5,33,27,6
FIN,8127,Mikko Laine,Ilkka Tuomi,TPS,-7,7,7,7,4,6,38,31,7
