Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat Name,Points Total,Points Netto,Place
USA,8854,Craig Thompson,Adam Wolnikowski,Unaffiliated,2,[3],3,2,2,1,1,1,Thompson Boat Works,12,15,1
USA,8930,Duane Delfosse,Mike Hull,LSYC,1,[6],4,3,1,2,2,2,TBD,15,21,2
USA,8814,Ethan Bixby,Ian Mathiesen,SPSC/WRSC,[4],1,1,1,3,3,4,4,None,17,21,3
USA,9041,Henry Amthor,Chris Pfrang,HYC,5,2,[6],5,4,5,5,5,Benchmark,31,37,4
USA,8913,Vir Menon,Marian Williams,HYC,3,[8],5,7,5,4,6,3,Baby Blue,33,41,5
USA,9095,Macy Nelson,Steen Byskov,West River Sailing Club,6,5,2,6,[7],6,7,6,Highway 95 Revisited,38,45,6
USA,8643,Barney Harris,Simon Van Wonderen,WRSC & PRSA,8,4,8,4,8,7,3,[DNC - 10],The Green New Scam,42,52,7
USA,9139,Jackson Montague,Mason Chapman,FBYC,[9],7,9,8,6,8,8,7,Wild Thing, 53,62,8
USA,9173,Sterling Spruill,Sydney Spruill,HYC,7,[9],7,9,9,9,9,8,Crew's Dad,58,67,9
