Country,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Drop,Netto,Rank
USA,8829,Miles Johannessen,Ben,,1,1,1,1,1,2,[3],3,1,14,3,11,1
USA,8439,Jeff,Rich,,2,[7],2,4,2,5,1,5,3,31,7,24,2
USA,8576,Mike Punnett,Carol Punnett,,3,3,3,9,3,1,5,1,[10],38,10,28,3
USA,9142,Douglas Hagan,Nalu Ho,,4,4,[10],2,5,4,6,4,6,45,10,35,4
USA,9027,Pierre Jeangirard,Langdon Junge,,6,8,4,7,[9],6,2,2,2,46,9,37,5
USA,8864,Paul Pihl,Cedric Keneipp,,5,6,[8],6,6,3,4,6,5,49,8,41,6
CAN,8866,Cynthia des Brisay,Charles Hansen,,[14],2,6,5,4,8,8,7,4,58,14,44,7
USA,9083,Aaron Ross,Rob Waterman,,7,9,5,3,7,[12],10,9,8,70,12,58,8
USA,8824,Gavin Brackett,Ryan Carson,,9,10,7,12,[13],9,7,10,13,90,13,77,9
USA,8868,Courtney Starks,Curran,,12,11,[17],15,14,7,9,8,7,100,17,83,10
USA,8616,Lee Laney,Patrick,,[17],12,9,8,11,13,12,11,11,104,17,87,11
USA,8017,Jon Seestrom,Anthony,,15,[16],11,13,10,10,13,12,9,109,16,93,12
USA,9227,Christian Pittack,Anne Fitzpatrick,,8,13,12,10,12,11,14,14,[15],109,15,94,13
USA,8931,Elsa Balton,Blaine Pedlow,,11,5,14,16,8,14,[17],17,17,119,17,102,14
USA,9190,Patrick,Paul von Grey,,10,[17],13,11,16,15,11,13,14,120,17,103,15
USA,8613,Tom,Evan,,16,14,16,[17],15,16,15,15,12,136,17,119,16
USA,7875,Ian O’Leary,Declan O’Leary,,13,15,15,14,[17],17,16,17,17,141,17,124,17
