Country,SAIL NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,TOTAL,NET,Place
USA,9106,Mike Martin,Adam Lowry,NHYC StFYC,[1],1,1,1,1,5,4,1
USA,9160,Howard Hamlin,Andy Zinn,ABYC/NHYC,2,[DNC - 13],2,2,2,21,8,2
USA,9082,Jeff Miller,Matt Merchant,Santa Cruz YC,[3],3,3,3,3,15,12,3
USA,8576,Mike Punnett,Don Smith,PCYC,[5],2,4,5,4,20,15,4
USA,60*,Kevin Taugher,Nick Kofski,ABYC,4,4,[8],6,5,27,19,5
USA,9027,Pierre Jeangirard,Paul Pihl,PCYC,[6],5,5,4,6,26,20,6
USA,8937,Tim Murphy,Gavin Murphy,US Sailing,7,[8],6,8,7,36,28,7
USA,160*,Lauren Bell,Jon Bell,Santa Barbara Yacht Club,10,7,7,7,[DNS - 13],44,31,8
USA,8908,Antoine Laussu,Ryan Aubry,PSSA,9,6,[DNC - 13],DNC - 13,DNC - 13,54,41,9
USA,7875,Ian O'Leary,Declan O'Leary,Acsc,8,9,[DNC - 13],DNC - 13,DNC - 13,56,43,10
USA,9083,Tim Steele,Rob Waterman,ABYC,11,[DNC - 13],9,DNS - 13,DNC - 13,59,46,11
USA,8207,Ole Eichhorn,Ryan Wells,SBYC,[DNC - 13],DNC - 13,DNC - 13,DNC - 13,DNC - 13,65,52,12
