Country,Boat NO,Helm,Crew,Club/Org,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Total,Netto,Place
USA,9106,Mike Martin,Adam Lowry,StFYC,2,[6],1,1,1,Mike's Boat,11,5,1
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz,[4],2,2,3,2,None,13,9,2
USA,9248,Eric Anderson,Nic Baird,StFYC/SPYC,3,[5],3,2,3,N=2,16,11,3
USA,9240,AJ Conrads,Jon Bell,Tahoe Yacht Club,1,1,6,6,[8],Eileen,22,14,4
USA,8576,Mike Punnett,Blaine Pedlow,PCYC,7,[10],4,4,4,None,29,19,5
USA,9165,Pete Spaulding,Mike Radziejowski,PYC,[8],8,7,5,5,None,33,25,6
USA,9142,Nalu Ho,Keahi Ho,Mbyc,[10],4,8,9,6,None,37,27,7
USA,9262,Howard Hamlin,Garrett Brown,NHYC,5,3,5,[DNF - 18],DNS - 18,Larry's last 505,49,31,8
USA,9160,Matthew Merchant,Jack Jorgensen,SCYC,9,7,[10],8,7,None,41,31,9
USA,9082,Jeff Miller,David Shelton,SCYC,6,12,11,7,[DNS - 18],Miracle,54,36,10
USA,9237,Eric Willis,Bruce Edwards,Santa Cruz YC,13,9,9,[DNF - 18],DNS - 18,Riders on the Storm ,67,49,11
USA,8266,Steve Anderes,John Mellnik,IYC,15,13,12,10,[DNS - 18],Spiff,68,50,12
USA,8937,Tim Murphy,Gavin Murphy,None ,11,14,[DNC - 18],DNC - 18,DNC - 18,None,79,61,13
USA,9083,Aaron Ross,Rob Waterman,SCYC/ABYC,16,11,[DNS - 18],DNC - 18,DNC - 18,Cosmic Thing,81,63,14
USA,8411,Nathan De Vries,Jack Groves,Encinal Yacht Club,12,15,[RET - 18],DNS - 18,DNS - 18,Boogie,81,63,15
USA,7875,Ian O'Leary,Declan O'Leary,ACSC,14,16,[RET - 18],DNS - 18,DNS - 18,O’Leary construction,84,66,16
USA,4*,Alexis Preel,Patrick Weaver,Berkeley ,17,17,DNF - 18,DNF - 18,DNS - 18,Patrick's boat,88,70,17
