Country,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Boat Name,Points,Place
USA,8930,Duane Delfosse,Mike Hull,Lake Sunapee Yacht Club,5,2,1,TBD,8,1
USA,8715,Paul Taylor,Sol Marini,Unaffiliated,4,1,3,TBD,8,2
USA,9005,Thomas Kivney,John Ingles,Hingham Yacht Club,1,4,4,Katie Bear,9,3
CAN,8821,Luke Strickland,Christian Voyer,Nepean Sailing Club,3,6,2,,11,4
CAN,920*,Marie Gendron,Andrew Gesing,Nepean Sailing Club,2,5,10/DNF,Mystery,17,5
USA,8851,Amie Huebner,William Huebner,Sail Newport,8,3,7,T&A,18,6
USA,9041,Henry Amthor (C),,Hampton YC,6,7,6,Henry & Kai,19,7
CAN,8696,Deb Ashby,Dave Adams,Nepean Sailing Club,9,9,5,Loose Unit,23,8
CAN,138*,Robert Voyer,Larry Strickland,Nepean,7,8,8,Gowabunga,23,9
