SAIL,NUMBER,SAILORS,,CLUB/ORG,R1,R2,R3,R4,R5,R6,R7,R8,BOAT NAME,TOTAL,NET,
USA,9106,Mike Martin,Adam Lowry,StFYC,[2],2,1,2,1,1,1,1,Mike's Boat,11,9,1
USA,9240,AJ Conrads,Jon Bell,Tahoe yacht club,1,1,[2],1,2,2,2,2,Eileen,13,11,2
USA,8937,Tim Murphy,Pat Diola,None,3,3,4,3,3,4,3,[DNS - 8],None,31,23,3
USA,9083,Aaron Ross,Rob Waterman,SCYC/ABYC,4,4,3,4,4,3,[RET - 8],DNS - 8,Cosmic Thing,38,30,4
USA,8266,Steve Anderes,John Mellnik,505,[5],5,5,5,5,5,5,3,Spiff,38,33,5
USA,7875,Ian O'Leary,Declan O'Leary,Acsc,6,6,6,[DNF - 8],6,6,4,DNS - 8,Oleary construction,50,42,6
USA,8207,Ole Eichhorn,Chris Claycomb,SBYC,7,7,7,[DNS - 8],7,7,6,DNS - 8,Spot,57,49,7
