Country,Sail,Skipper,,Yacht Club,1,2,3,4,5,Boat,Total,Pos
USA,8786,Luke Ingalls,John Ingalls,Sakonnet YC,1,1,[4],1,2,Barbara,5,1
USA,8856,Ethan Bixby,William Huebner,SPSC,2,2,1,[3],1,Science Project,6,2
USA,9041,Henry Amthor,Christopher Pfrang,Hampton YC,[4],4,2,2,4,Benchmark,12,3
USA,8643,Barney Harris,,WSRC & PRSA,3,3,3,4,[6],Ten Percent for the BIG GUY,13,4
USA,9095,Macy Nelson,Nat Barton,West River,[6],5,6,5,3,Highway 95 Revisited,19,5
USA,9003,Art Gleason,,DYC,5,6,5,[8],7,,23,6
CAN,9028,Kyber Lovshin,Shona Moss Lovshin,Britannia YC / Nepean SC,[9],7,8,9,5,,29T,7
USA,9009,Ben Coker,Charlie Curtis,DIYC,7,[9],7,6,9,505,29T,8
USA,8830,Nathaniel Plant,,spsc,8,8,9,[10],10,orange boat,35,9
USA,8814,Keenan Hilsinger,Ian Mathiesen,West River YC/ USA Yacht Club,[12/DNS],12/DNS,12/DNS,7,8,Allegedly,39,10
USA,9173,Sterling Spruill Jr,,Hampton YC,[12/DNS],12/DNS,12/DNS,12/DNS,12/DNS,Here for Vacation,48,11
