Country,Sail Number,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Position
USA,8930,Duane Delfosse,Mike Hull,,[2],1,2,2,1,2,9,8,1
USA,8851,Ted Huebner,Mike Komar,,3,2,1,4,[5],1,16,11,2
USA,8987,Peter Scannell,John Dunlea,,1,6,3,1,2,[7/DNS],20,13,3
USA,9005,Thomas Kivney,Gordon Russell,,4,4,4,3,3,[7/DNS],25,18,4
CAN,138*,Luke Strickland,Christian Voyer,,[6],3,6,5,6,3,29,23,5
USA,8715,Paul Taylor,Solomon Marini,,5,5,5,6,4,[7/DNS],32,25,6
