National,Boat NO,Helm,Crew,Club/Team,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
USA,8854,Craig Thompson,Adam Wolnikowski,Thompson Boat Works,3,2,1,2,6,14,1
USA,8856,Ethan Bixby,Ted Huebner,Science Project,4,1,2,4,4,15,2
USA,8930,Duane Delfosse,Mike Hull,TBD,5,6,3,1,2,17,3
IRL,8987,Peter Scannell,John Dunlea,Lookadatla,1,3,4,6,3,17,4
USA,138*,Luke Strickland,Christian Voyer,Gowabunga,7,5,5,3,1,21,5
USA,9095,Macy Nelson,Chris Brady,Highway 95 Revisited,2,4,7,5,7,25,6
USA,9003,Art Gleason,Jonathan Gleason,Ttt,6,8,6,7,5,32,7
USA,6936,Will Platt,Bill Platt,For the Roses,12/DNC,12/DNC,8,8,8,48,8
CAN,8442,Stephen Adolph,Thomas Adolph,Make Work Project,9,7,12/DNC,12/DNC,12/DNC,52,9
CAN,8850,Doug Watson,Yunus Akcor,Dr. Crash,8,9,12/DNC,12/DNC,12/DNC,53,10
USA,9186,Shona Moss Lovshin,,9186,12/DNC,12/DNC,12/DNC,12/DNC,12/DNC,60,11
