Nation,Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Sum,#
POL,8358,Marcin Józefowski,Jacek Barankiewicz,,1,2*,1,1,2,1,1,7,1
POL,7669,Antonina Żółtowska,Piotr Żółtowski,,2,1,2,3,3,4*,2,13,2
POL,8130,Jarosław Grabowski,Michał Olko,,3*,3,3,2,1,2,3,14,3
POL,7539,Tomasz Bernat,,,4*,4,3,4,4,5,5,25,4
POL,8204,Jarosław Brysiewicz,,,DNF 6*,5,DNF 6,5,DNF 6,3,4,29,5
