Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
GER,8992,Lutz Stengel,Frank Feller,ROYC,2,[7],1,1,1,1,13,6,1
GER,9256,Jens Biederer,Jan Reifferscheidt,HSC,1,4,3,6,[9],3,26,17,2
GER,912,Nils-Henning Hofmann,Henrike Leitl,DYC,3,1,6,3,5,[10],28,18,3
GER,9260,Tim Böger,Michael Krause,HSC,[11],3,9,2,2,4,31,20,4
GER,9268,Henrik Schade,Sebastian Wiemer,WVW,4,[11],4,4,6,2,31,20,5
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,6,5,2,5,3,[7],28,21,6
GER,8928,Andreas Porth,Martin Lietz,,5,6,7,[11],7,5,41,30,7
GER,9234,Nørbert Dasenbrook,Sven Meier,KSW,[16],2,11,8,4,6,47,31,8
GER,9131,Jörn Wille,Martin Bergmann,MSC,[13],8,5,9,8,8,51,38,9
GER,9066,Peter Gerdts,Christian Labenz,HSC,[10],9,8,7,10,9,53,43,10
GER,9169,Nele Söker,Thore Kiesbye,,8,13,[15],13,11,11,71,56,11
GER,9230,Martin Kittsteiner,Oliver Stieglitz,HSC,7,12,10,10,[DNC 18],DNC 18,75,57,12
GER,8806,Anna Hauschild,Anja Stengel,SCS,12,14,[DNF 18],14,12,14,84,66,13
GER,8958,Nicholas Melzwig,Katharina Menge,LRV,15,10,12,17,[DNC 18],13,85,67,14
GER,8932,Christian Henge,Katja Henge,OSG,9,15,14,12,[DNC 18],DNC 18,86,50,15
GER,9123,Martin Bernauer,Enno Wilts,CNFT,14,[16],13,16,13,15,87,71,16
GER,8972,Alexander Holzapfel,Jakob Hammersen,PSVK,[17],17,16,15,14,12,91,74,17
