Sail,Number,Team,,Club,R1,T,N,Nr
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,1,1,1,1
GER,9070,Christian Kellner,Andreas Achterberg,BYC,2,2,2,2
GER,9114,Mats Westholm,Christoph Demarczyk,SCLW,3,3,3,3
GER,8590,Tillmann Baier,Eckhard Busch,MRSV,4,4,4,4
GER,8862,Robert Wisolek,Johannes Berggren,BA050,5,5,5,5
GER,8990,Ralf Breitenfeldt,Thorsten Koch,HSC,6,6,6,6
GER,8518,Achim Funk,Michael Probst,SCLW,7,7,7,7
GER,8672,Dirk Hütten,Guido Von Walter,SGR,8,8,8,8
GER,9100,Nathalie Zeiler,Claudius Zeiler,SCLW,9,9,9,9
GER,9040,Harald König,Peter Zimmer,SRVL-S,10,10,10,10
GER,8998,Ingo Schneider,Julian Dresp,SCLW,11,11,11,11
GER,9046,Annika Seiffert,Andreas Seiffert,SCLA,12,12,12,12
GER,8997,Nadine Dresp,Ingolf Dresp,YCRA,15DNF,15,15,13
GER,9127,Frederik Schaal,Felix Diesch,SMCUE,15DNC,15,15,13
