Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Total,Netto,Place
GER,9258,Alexander Holzapfel,Finn Boeger,PSVK,1,1,1,3,3,1
GER,9054,Wilhelm Wollenbecker,Hermann Wollenbecker,YCBTF,2,2,2,6,6,2
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,3,5,3,11,11,3
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBTF,4,3,4,11,11,4
GER,9114,Helen Fischer,Mats Westholm,SCLW,6,4,5,15,15,5
GER,9102,Andre Tirre,Frank Wille,ZSK,5,7,6,18,18,6
GER,9123,Enno Wilts,Martin Bernauer,SGJ,7,6,9DNF,22,22,7
GER,9169,Tim Böger,Martin Schöler,HSC,9DNF,9DNC,9DNC,27,27,8
