Sail,Number,Helm,Crew,Club,R1,R2,R3,T,N,Place
GER,9199,Micki Daisenberger,Johannes Tellen,DTYC,2,1,1,4,4,1
GER,9090,Christian Kellner,Andreas Achterberg,HSC,1,3,2,6,6,2
GER,9122,Lena Stückl,Kilian Northoff,DTYC,5,2,4,11,11,3
GER,9197,Friedor Achterberg,Angela Stenger,VSAW,3,5,3,11,11,4
GER,9195,Dirk Penno,Felix Brockerhoff,DTYC,6,4,5,15,15,5
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,4,6,6,16,16,6
GER,9100,Nathalie Zeiler,Claudius Zeiler,SCLW,9,7,10,26,26,7
GER,8691,Felix Bernhardt,André Müller,SRVL-S,7,8,12,27,27,8
GER,9182,Alexander Swade,Christoph Swade,DYC,10,10,8,28,28,9
GER,91*,Ulrich Stegbauer,Michi Probst,HSC,11,12,7,30,30,10
GER,8990,Ralf Breitenfeldt,Alexander Wilhelm,HSC,8,11,11,30,30,11
GER,9114,Mats Westholm,Dirk Hütten,SCLW,12,9,13,34,34,12
GER,8730,Harald König,Peter Zimmer,TSVH,13,13,9,35,35,13
GER,8518,Achim Funk,Georg Baier,SCLW,17 DNC,17 DNC,14,48,48,14
GER,8590,Tillmann Baier,Eckhard Busch,"MRSV""BAYERN""",17 DNC,17 DNC,17 DNC,51,51,15
GER,8998,Sebastian Hoering,Ingo Schneider,SCLW,17 DNC,17 DNC,17 DNC,51,51,15
