Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,9090,Tim Böger,Martin Schöler,HSC,1,1,4,6,6,1
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,2,2,2,6,6,2
GER,8903,Steve Kwee,Hannes Kindermann,HSC,3,6,1,10,10,3
GER,9169,Rayan Schöner,Markus Schöner,,8,4,3,15,15,4
GER,9131,Jörn Wille,Martin Bergmann,MSC,4,3,DNC 11,18,18,5
GER,8774,Nicolai Völckner,Andreas Schmidt,HSC,7,5,DNC 11,23,23,6
GER,8282,Andreas Jungclaus,Max Rauner,HSC,5,DNF 11,DNC 11,27,27,7
GER,9161,Walter Steding,Hans-Werner Steding,HSC,6,DNC 11,DNC 11,28,28,8
GER,8433,Patrick Ziegelmüller,Barbara Kloth,,9,DNF 11,DNC 11,31,31,9
GER,9040,Harald König,Felix Weissensteiner,SRVL-S,DNF 11,DNC 11,DNC 11,33,33,10
