Sail,Number,Helm,Crew,Club,R1,R2,R3,R4,R5,T,N,Nr
FRA,9270,Philippe Boite,Marin Carnot,cvsq,1,1,1,1,[2],6,4,1
GER,9260,Tim Böger,Finn Böger,HSC,4,[8],2,5,1,20,12,2
GER,8992,Lutz Stengel,Frank Feller,ROYC,2,2,[8],2,7,21,13,3
GER,9185,Stefan Böhm,Gerald Roos,SCV,3,3,[10],3,4,23,13,4
GER,9070,Stefan Köchlin,Andreas Achterberg,BYC,[7],5,7,6,3,28,21,5
GER,9258,Alexander Holzapfel,Arne Wittemer,PSVK,5,6,3,7,[11],32,21,6
GER,9231,Stefan Giesler,Frank Böhm,VSAW,6,4,5,[8],6,29,21,7
GER,9101,Timon Treichel,Morten Roos,SVWU,8,9,[35]DNF,4,10,66,31,8
GER,9146,Joseph Schütte,Aron Tellen,KYC,10,11,9,[12],5,47,35,9
SWE,9038,Mikael Gustavsson,Tore Reinhold,BKSS,[14],14,4,10,8,50,36,10
GER,9268,Henrik Schade,Sebastian Wiemer,WVW,12,[15],6,9,9,51,36,11
SWE,9171,Martin Fridh,Mats Dahlander,LBS,9,7,11,[14],13,54,40,12
SWE,9143,Thomas Lundberg,Johan Strömdahl,Royal Swedish Yacht Club,11,16,12,11,[23],73,50,13
GER,8903,Steve Kwee,Hanno Weimer,HSC,[17],12,13,13,15,70,53,14
GER,9234,Nørbert Dasenbrook,Sven Meier,KSW,15,13,14,19,[21],82,61,15
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,YCIF,16,17,18,16,[19],86,67,16
GER,9131,Jörn Wille,Martin Bergmann,MSC,18,20,17,[23],14,92,69,17
POL,8751,Paweł Kluczyński,Teofil Nowak,AZS P,[21],21,19,15,20,96,75,18
POL,9135,Dariusz Konopczak,Paweł Henszke,YKP S,[35]DNF,18,20,22,18,113,78,19
GER,8458,Olaf Oberländer,Mathias Jäkel,ASVZR,[23],19,21,17,22,102,79,20
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBTF,[35]DNC,35DNC,16,18,12,116,81,21
SWE,9222,Tomas Franzen,Lars Lindgren,RJK,[35]DNC,35DNC,15,21,17,123,88,22
GER,9066,Peter Gerdts,Christian Labenz,SVWU,13,[35]DNC,24,25,27,124,89,23
GER,9054,Moritz Pich,Hermann Wollenbecker,YCBTF,22,24,23,20,[26],115,89,24
GER,9169,Rayan Schöner,Markus Schöner,NRV,19,23,26,[35]DNC,35DNC,138,103,25
GER,8806,Anna Hauschild,Anja Stengel,SCS,[35]DNC,35DNC,22,24,24,140,105,26
GER,912*,Nils-Henning Hofmann,Margret Porschen,DYC,20,22,[35]DNF,35DNC,35DNC,147,112,27
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,[35]DNS,10,35DNC,35DNC,35DNC,150,115,28
GER,8928,Michael Rehberg,Martin Lietz,FSV03E.V.,[35]DNC,35DNC,35DNC,35DNC,16,156,121,29
GER,9030,Andreas Jungclaus,Katharina Menge,HSC,[35]DNC,35DNC,35DNC,35DNC,25,165,130,30
AUS,9225,Earle Alexander,Martin Bernauer,DPSS,[35]DNC,35DNC,25,35DNC,35DNC,165,130,31
GER,8932,Christian Henge,Katja Henge,WEISE,[35]DNC,35DNC,27,35DNC,35DNC,167,132,32
GER,7848,Axel Dierich,Tobias Borchert,MYCVD,[35]DNC,35DNC,35DNF,35NSC,28,168,133,33
GER,9182,Alexander Swade,Inga-Marie Hofmann,DYC,[35]DNS,35DNC,35DNC,35DNC,35DNC,175,140,34
