Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Platzierungen 8,Punkte,Pl.
GER,9071,Wolfgang Hunger,Julien Kleiner,PYC,6,1,2,1,9,3,1,6,,1
GER,9112,Morten Bogacki,Lars Dehne,DYC,9,5,1,6,2,6,2,1,,2
GER,8875,Jens Findel,Johannes Tellen,KYC,1,3,10,5,1,2,9,8,,3
GER,9135,Stefan Böhm,Gerald Roos,SCV,4,2,7,18,4,4,10,4,,4
GER,9090,Christian Kellner,Martin Schöler,HSC,3,6,4,4,11,12,4,3,,5
GER,9070,Stefan Köchlin,Andreas Achterberg,SKF,2,9,9,7,8,1,3,DNF,,6
CAN,8970,Bob Tennant,Steve Bourdow,,19,15,2,2,6,8,6,2,,7
GER,9078,Frieder Achterberg,Wolfgang Stückl,DTYC,5,7,6,14,20,11,11,5,,8
SUI,8954,Caroline Jacot,Philippe Jacot,CVN,11,17,11,11,3,10,14,7,,9
GBR,8963,Martin Hodgson,Adrian Miles,,16,14,19,9,7,5,8,10,,10
GBR,9057,Chris Lewns,Jarrod Simpson,,24,10,8,2,21,9,12,9,,11
GER,9062,Jens Olbrysch,Oliver Thies,HSC,28,16,15,8,12,7,5,12,,12
GER,9110,Tim Böger,Markus Schöner,HSC,13,4,14,10,18,13,7,15,,13
DEN,9128,Nikolaj Buhl,Henrik Buhl,,7,12,6,12,10,DNF,16,13,,14
SUI,9069,Cédric Bart,Rene Betschen,CNB,10,18,13,13,13,22,13,11,,15
GER,8927,Ulf Pleßmann,Hans-Heinrich Rix,AYC,23,8,23,16,5,15,15,22,,16
SUI,8613,Marti Ueli,Res Schürch,CVN,12,24,17,15,16,14,18,14,,17
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,14,20,12,19,14,25,17,16,,18
SUI,8614,Florian Stauffer,Valery Jacot,CVN,17,13,18,22,15,16,19,19,,19
GER,9040,Norbert Dasenbrook,Sven Meier,KSW,15,11,22,17,23,18,21,20,,20
GBR,8974,Dave Smithwhite,Neil Fulcher,HISC,8,19,16,25,27,27,20,18,,21
AUS,9028,Alexander Earle,Nick Alexander,,DNF,22,20,21,19,23,28,17,,22
GER,9043,Nicola Birkner,Angela Stenger,SVaW,21,23,25,20,22,20,32,24,,23
SUI,8961,Toni Utiger,Markus Heilig,,20,25,21,29,25,30,24,23,,24
GER,8672,Karsten Contag,Guido von Walter,SCLW,18,30,26,30,28,21,26,26,,25
FRA,8402,Bleuez loic,Roucayrol Frederic,,22,27,29,26,24,24,23,DNF,,26
GER,9023,Max Eisenrieder,Dirk Penno,YCaT,26,21,24,32,34,17,29,29,,27
GER,9011,Michael Daisenberger,Tobi Bolduan,DTYC,DNF,DNF,DNF,24,17,26,22,21,,28
SUI,9060,Catherine Houriet,Gil Donze,,30,28,28,23,35,33,25,25,,29
SUI,8727,Lorenz Nydegger,Martin Nydegger,SCB,27,26,DNF,33,31,29,30,27,,30
USA,8831,Douglas Hagan,Paul Von Grey,,DNF,29,DNF,27,30,19,27,DNF,,31
GER,8694,Frank Beier,Hubertus Ritter,SCLM,31,32,DNF,28,32,32,31,DNF,,32
GER,9114,Mats Westholm,Francisco Sanguino,SCLW,25,31,DNF,28,32,32,31,DNF,,33
GBR,8745,Patrick McGale,Pat Diola,QMSC,29,DNF,27,35,29,31,DNF,DNF,,34
GER,8999,Sophie Söllner,Karsten Stümpel,CYC,DNF,DNF,DNF,34,33,34,DNF,DNF,,35
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,DNF,DNF,DNF,36,36,35,DNF,DNF,,36
