Nation,Sail Number,Helm,Crew,Club,R1,R2,R3,R4,R5,T,N,Nr
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,1,1,1,1,-2,6,4,1
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,-2,2,2,2,1,9,7,2
FIN,8466,Hannu Pöyry,Ari Dillemuth,VVK,-3,3,3,3,3,15,12,3
FIN,9212,Thomas Held,Juha Nurmela,BSS,-5,4,4,5,4,22,17,4
FIN,8053,Kari Lehtonen,Juhani Heimsch,HSK,4,5,5,4,(6.0)DNS,24,18,5
