Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points,Place
USA,9005,Thomas Kivney,,,1,[2],1,2,1,1,Katiebear,6,1
USA,8930,Duane Delfosse,,,2,1,2,1,[8],2,8930,8,2
CAN,8987,Marie Gendron,,,3,3,3,3,[5],3,Mystery,15,3
,8261,Alexander Tong,,,4,4,4,[5],3,5,8261,20,4
CAN,9138,Marek Balinski,,,5,5,5,[7],2,4,Plastic Surgery Disaster,21,5
CAN,888*,Paul Place,,,6,6,7,4,4,11/RET*,Red Rocket,27,6
USA,8081,Mark Linker,,,11/RET*,7,6,6,7,6,8081,32,7
,6985,Alexander Young,,,11/RET*,8,8,9,6,7,JBR,38,8
CAN,7776,Kyber Lovshin,,,7,11/RET*,11/DNS,8,11/RET,11/DNS,Shut up & hold on,48,9
USA,9183,Michael Breton,,,11/DNC*,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,No Retreat,55,10
