,Sail,Skipper,,Yacht Club,1,2,3,4,5,6,7,8,9,Boat,Total,Pos
USA,8823,Mats Elf,,CYC Seattle,1,1,1,1,3,5,2,[6],5,Good Times,19,1
USA,8829,Miles Johannessen,Nicholas Blair,BYC/ BYC,4,2,2,2,1,1,8,[9],1,,21,2
CAN,8866,Cynthia Des Brisay,Charles Hansen,Kitsilano Yacht Club/ Kitsilano Yacht Club,5,5,3,[8],7,3,5,7,2,Non Sequitor,37,3
USA,8616,Lee Laney,Mike Powell,Bellingham Yacht Club/ Bellingham Yacht Club,2,4,10,3,4,4,6,[11],8,Miami Vice,41,4
USA,8868,Piper Dunlap,Dan Ginther,ptsa/ ptsa,12,3,4,[18/OCS],2,10,7,1,3,dooflicker,42,5
USA,8631,Alexia Fisher,Tom Crawford,cyc/ cyc,7,7,5,[18/DNF],9,7,4,2,6,F B Incognito,47,6
USA,8854,Jon Seestrom,Michael Poulos,BYC/ byc,8,8,[14],6,8,6,1,4,7,Fighting Lady,48T,7
USA,6991,Courtney Starks,Sugar Flanagan,Port Townsend Sailing Association/ Port Townsend Sailing Association,6,6,7,5,6,9,[11],5,4,Zaya,48T,8
USA,9116,Katherine Long,Langdon The Brave,Willamette/ Eugene,3,10,6,4,5,8,10,8,[18/DNF],The Great Pumpkin,54,9
USA,8578,Erik Coburn,,Community Boating/ Community Boating,9,11,8,7,10,11,[15],10,11,Watery Tart,77,10
USA,8864,Paul Pihl,Craig Cammock,Paul Pihl/ BYC,11,13,9,9,11,13,9,12,[18/DNS],Heisenberg,87,11
USA,8960,Bruce Vandeventer,Bob Rinker,CYC Seattle/ STYC,10,9,13,10,13,[16],16,14,12,Time Machine,97,12
USA,8815,Fritz Lanzinger,,CYC,[18/DNC],18/DNC,18/DNC,18/DNC,18/DNC,2,3,3,18/DNS,I Don't Know,98,13
,8439,Anne Fitzpatrick,Chris Pittack,CYC/ CYC,13,14,12,13,[18/DNS],12,12,15,10,Yes Dear!,101,14
,8617,Elsa Balton,Lena Captain,SYC/ Syc,14,[15],15,12,12,14,13,13,9,,102,15
USA,7610,Craig Mcminn,Christopher Hubbard,CYC Seattle/ CYC Seattle,15,12,11,11,[18/DNS],15,14,16,13,Bugbear,107,16
USA,8786,John Hanna,,Willamette Sailing Club,[18/DNF],18/DNS,18/DNS,18/DNS,18/DNS,18/DNC,18/DNC,18/DNC,18/DNC,,144,17
