Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Pts,Pos
,8774,Simon Payne,Steve Hunt,HISC,1,1,3,1,1,2,1,1,8,1
,8787,Terry Slutcher,Christian Diebitsch,Shortley,25,2,1,4,3,1,2,5,18,2
,8552,Russell Short,Andrew Short,Burton,2,4,2,2,4,5,8,4,23,3
,8734,Chips Howarth,Paul Young,HISC,25,3,5,7,2,7,3,2,29,4
,8694,Andy Williams,Andy Edmunds,PYSC,3,9,7,3,12,8,4,7,41,5
,8495,David Peacock,Chris Hewkin,Burton,10,11,25,5,5,3,6,3,43,6
,8419,Stuart Turnbull,Jason Lunn,Burton,10,5,6,11,7,6,5,8,47,7
,8685,Richard Sims,Simon Ward,Burton,25,8,4,8,6,9,7,9,51,8
,8701,Rob Napier,Matthew Bristow,HISC,10,7,19,10,10,11,13,11,72,9
,8726,Martin Stainsby,Steve Watson,HISC,10,12,11,9,13,12,10,10,74,10
,8705,Richard Lord,Simon Lake,HISC,25,6,10,15,8,16,11,12,78,11
,8464,David Hitcock,Ian Nicholson,HISC,25,10,17,21,11,13,9,6,87,12
,8650,Terry Selfe,Alan Montague,Stone,10,14,14,12,15,15,17,15,95,13
,8708,Martin Wedge,Scott Allen,RBYC,25,17,13,6,14,17,15,25,107,14
,8555,David Smithwhite,Neil Fulcher,HISC,25,13,8,13,25,10,14,25,108,15
,8704,Thibault Dipede,Christian Martenot,CVSP,25,18,9,17,17,20,12,16,109,16
,8514,Ann Lane,Alex Cull,QMSC,25,16,15,16,18,21,16,14,116,17
,8474,Chris Thorne, ,Portishead,25,19,18,20,16,14,19,13,119,18
FRA,8515,Alain Preel,Alexis Preel,CVSA,25,15,16,19,19,19,18,17,123,19
,8460,Martin Goult,Gordon Russell,Burghfield,25,25,25,14,9,4,25,25,127,20
GBR,8532,Tom Clayton,James Hartley,Shortley,10,20,21,22,21,22,21,18,133,21
,8678,Jim Berry,Jon Peats,Chew Valley,25,25,25,18,20,18,20,24,150,22
,GBR 8672,Miles Odell,Andrew Streeter,HISC,25,25,12,25,25,25,25,25,162,23
,8112,Antonly Tomkins,Simon Morris,Bruner Uni,25,25,20,23,25,25,23,25,166,24
