Boat,Helm,Crew,Club,1,2,3,4,5,6,7,8,9,Tot.,Plac.
GER 8826,Wolfgang Hunger,Holger Jess,PYC,1,1,2,1,1,-11,2,4,(DNS),12,1
SWE 8812,Krister Bergström,Johan Barne,GKSS,-20,2,1,4,3,3,1,9,(DNS),23,2
USA 8714,Howard Hamlin,Peter Alarie,NHYC,4,6,9,-11,7,1,-15,2,1,30,3
DEN 8656,Jörgen Riber,Henrik Buhl,SLET,3,8,-15,9,2,9,-24,1,9,41,4
GER 8672,Christian Kellner,Klaus Stammerjohann,HCSH,-28,3,3,12,-24,5,5,11,3,42,5
GBR 8774,Ian Pinnell,Steve Hunt,NORTH,5,7,RDG (0),2,9,-13,7,13,-21,43,6
GER 8651,Claas Lehmann,Martin Schöler,NRV,2,4,-17,3,12,14,6,14,-15,55,7
GER 8825,Stefan Koechlin,Axel Priegan,SKF,7,-29,11,7,-18,2,4,18,6,55,8
USA 8776,Alexander Meller,Jesse Falsone,SEVER,-19,10,8,-18,13,4,8,10,10,63,9
USA 8762,Daniel Thompson,Andrew Zinn,NHYC,14,9,10,8,4,-18,12,-16,8,65,10
GER 8670,Martin Görge,Rainer Görge,TSVS,12,14,7,-16,8,6,-18,5,16,68,11
USA 8824,Andy Beeckman,Ben Benjamin,NHYC,-26,13,6,5,-14,12,13,8,14,71,12
GER 8769,Stefan Böhm,Gerald Roos,SCV,-31,15,4,6,-22,19,9,15,4,72,13
GER 8622,Lutz Stengel,Frank Feller,RoYC,11,-24,19,19,11,8,-29,7,2,77,14
GBR 8787,Terry Scutcher,Christian Diebitsch,SC,10,5,5,20,6,-24,14,17,-38,77,15
SWE 8806,Ebbe Rosén,Olle Wenrup,MKS,8,21,(RAF),15,19,-38,11,12,5,91,16
DEN 8620,Jan Saugmann,Morten Ramsbaek,FARM,13,12,13,13,10,23,16,-33,-24,100,17
GER 8619,Jens Findel,Johannes Tellen,SVG,18,22,14,22,15,-51,-23,6,12,109,18
DEN 8440,Per Larsen,Henrik Andersen,FAS,9,30,-53,-49,17,15,21,3,17,112,19
GER 8633,Sophie Soellner,Wolfgang Stückl,CYC,6,-47,-37,23,29,16,3,19,28,124,20
USA 8722,Macy Nelson,Nick Nelson,WRSC,17,27,31,21,5,-34,-43,28,22,151,21
DEN 8581,Jon Andersen,Lasse B Andersen,Reers,-46,16,28,14,23,-42,28,21,26,156,22
