Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,9146,"Thure Gnadeberg","Aron Tellen",BSV,6,3,1,1,2,13,,1
GER,9182,"Alexander Holzapfel","Finn Böger",PSVK,4,2,4,2,1,13,,2
GER,9140,"Nørbert Dasenbrook","Sven Meier",KSW,2,4,2,7,3,18,,3
GER,8825,"Michael Troch","Geeske Genrich",SGJ,1,5,3,8,4,21,,4
GER,9152,"Anika Wollenbecker","Raik Wollenbecker",YCBG,8,1,9,6,7,31,,5
GER,9144,"Jürgen Anton","Ulf Denecke",HSC,13,7,5,4,8,37,,6
GER,9054,"Wilhelm Wollenbecker","Hermann Wollenbecker",YB,3,6,10,11,6,36,,7
GER,8849,"Henrik Schade","Sebastian Wiemer",WVW,5,9,8,10,5,37,,8
GER,9230,"Martin Kittsteiner","Oliver Stieglitz",HSC,7,11,6,3,"DNF 16",43,,9
GER,9066,"Peter Gerdts","Christian Labenz",HSC,10,8,7,5,9,39,,10
GER,8903,"Steve Kwee","Alena-Larissa Wilkens",HSC,9,10,11,9,10,49,,11
GER,9123,"Martin Bernauer","Enno Wilts",CNFT,11,12,12,12,11,58,,12
GER,8964,"Iris Anton","Stefan Worm",HSC,12,13,14,13,13,65,,13
GER,8428,"Christian Lempp","Marius Wolff",HSC,15,14,13,14,14,70,,14
GER,7848,"Axel Dierich","Katharina Menge",,14,15,15,15,12,71,,15
