Segel,Nummer,Mannschaft,Verein,,Race 1,Race 2,Race 3,Race 4,total,netto,Nr
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,[10],1,2,1,14,4,1
GER,9101,Timon Treichel,Morten Roos,SVWU,1,2,[7],2,12,5,2
GER,9182,Alexander Holzapfel,Finn Boeger,PSVK,2,3,3,[4],12,8,3
GER,9224,Konrad Otto,Martin Lietz,SG SEEBURG,5,4,[9],3,21,12,4
GER,9197,Nicola Birkner,Angela Stenger,VSAW,4,[7],4,6,21,14,5
GER,9135,Jens Biederer,Thomas Wasilewski,HSC,[13],10,1,5,29,16,6
GER,9198,Wilhelm Wollenbecker,Johannes Tellen,YCBTF,3,[13],6,10,32,19,7
GER,9066,Peter Gerdts,,SVWU,9,6,5,[12],32,20,8
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,8,5,[10],8,31,21,9
GER,9152,Volker Schoen,Raik Wollenbecker,YCBTF,6,[11],8,9,34,23,10
GER,8947,Ralf Schneidewind,Oliver Schürmann,PSC,7,9,(17)DNF,15,48,31,11
GER,8519,Silvio Hilbrich,Marcus Wagner,YSC-SS,11,8,12,[13],44,31,12
POL,8747,Anna Jabłońska,Andrzej Zdrojek,Polskie Stowarzyszenie Klasy 505,[14],14,11,7,46,32,13
GER,8958,Nicholas Melzwig,Katharina Menge,LRV,12,[15],13,11,51,36,14
GER,8691,Harald König,Katja Frühwald-König,SRVL-S,[15],12,14,14,55,40,15
GER,8975,Thomas Morgenstern,Christian Dittmar,CYCM,(17)DNF,16,17DNC,17DNC,67,50,16
