Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
GER,9199,"Michael Daisenberger","Dirk Penno",DTYC,1,1,1,1
GER,9133,"Lena Stückl","Carolin Januschke",DTYC,2,2,2,2
GER,9189,"Hendrik Schultz","Ute Oberländer",SCLW,3,3,3,3
GER,9090,"Christian Kellner","Andreas Achterberg",HSC,4,4,4,4
GER,8518,"Achim Funk","Jochen Heydolph",SCLW,5,5,5,5
GER,9078,"Dieter Brehm","Natascha Cepec",,6,6,6,6
GER,8691,"Harald König","Michael Müller",SRVL-S,7,7,7,7
GER,8658,"Alexander Wilhelm","Christina Höll",HSC,8,8,8,8
GER,8672,"Dirk Hütten","Guido Von Walter",,9,9,9,9
GER,8590,"Tillmann Baier","Eckhard Busch",,10,10,10,10
GER,8998,"Ingo Schneider","Sebastian Hoering",SCLW,11,11,11,11
GER,9046,"Andreas Seiffert","Jan Fischbach",,12,12,12,12
GER,8730,"Peter Zimmer","Paul Bauer",,13,13,13,13
