Sail,Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,T,N,Nr
GER,9234,Wolfgang Hunger,Holger Jess,PYC,1,1,1,2,2,2,2,3,3,(45)DNC,62,17,1
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,2,3,5,6,1,3,4,5,-7,5,41,34,2
GER,8992,Lutz Stengel,Frank Feller,ROYC,14,5,8,4,-18,5,6,1,1,2,64,46,3
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,11,2,-14,9,7,1,5,13,8,1,71,57,4
GER,9198,Lena Stückl,Johannes Tellen,DTYC,7,7,3,10,8,4,14,-17,5,3,78,61,5
GER,9182,Alexander Holzapfel,Arne Wittemer,PSVK,16,15,2,1,19,10,1,2,-29,7,102,73,6
GER,9149,Meike Schomäker,Rolf Meyer,SCED,4,16,9,8,-29,8,12,11,4,4,105,76,7
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,13,12,12,3,-16,7,15,14,6,8,106,90,8
SWE,9029,Tomas Grundel,Johan Strömdahl,KSSS,17,6,6,5,9,19,-20,9,17,19,127,107,9
GER,9057,Dorothea Gebert,Geeske Genrich,JSC,-24,22,4,7,4,12,23,16,11,11,134,110,10
GER,9127,Ulf Plessmann,Hans-Heinrich Rix,AYC,5,10,17,20,5,20,8,-24,2,24,135,111,11
SWE,8962,Peter Bökmark,Martin Persson,BKSS,21,-26,7,18,6,11,13,4,15,16,137,111,12
GER,9197,Nicola Birkner,Angela Stenger,VSAW,15,-23,20,17,10,6,10,8,10,17,136,113,13
GER,8975,Maike Roos,Morten Roos,SVWU,19,14,24,19,11,27,7,6,-31,9,167,136,14
GER,9185,Stefan Böhm,Gerald Roos,SCV,3,4,23,24,17,17,9,35,12,(45)DNC,189,144,15
GER,9231,Stefan Giesler,Frank Böhm,VSAW,9,8,15,26,-33,16,18,29,14,10,178,145,16
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,10,25,25,21,25,14,3,10,24,(45)DNC,202,157,17
GER,9169,Tim Böger,Finn Böger,HSC,(45)DNC,45DNC,11,11,3,21,27,12,18,14,207,162,18
GER,9131,Jörn Wille,Martin Bergmann,MSC,22,18,21,22,14,13,19,23,20,-36,208,172,19
GER,9135,Jens Biederer,Jan Reifferscheidt,HSC,18,17,22,-32,12,31,21,7,25,21,206,174,20
GER,9040,Norbert Dasenbrook,Sven Meier,SKBUE,27,13,16,-39,24,9,11,21,28,27,215,176,21
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,8,21,28,25,30,18,26,20,-32,6,214,182,22
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,12,11,19,31,20,24,-32,28,22,22,221,189,23
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,YCIF,26,20,18,-33,21,15,29,27,16,26,231,198,24
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBTF,20,19,27,28,23,28,28,-30,9,20,232,202,25
SWE,9143,Thomas Lundberg,Oskar Lundberg,KSSS,23,31,34,15,22,29,16,22,-35,23,250,215,26
GER,9230,Martin Kittsteiner,Oliver Stieglitz,HSC,34,24,13,-37,27,23,22,25,26,28,259,222,27
GER,9161,Walter Steding,Hans-Werner Steding,HSC,33,30,-41,12,31,30,25,19,13,31,265,224,28
GER,9035,Ronald Roos,Andreas Achterberg,SVWU,6,9,37,35,36,22,31,-41,37,12,266,225,29
GER,9113,Joseph Schütte,Karsten Stümpel,KYC,30,(45)NSC,10,14,15,33,37,31,36,33,284,239,30
GER,9066,Peter Gerdts,Christian Labenz,SVWU,29,27,29,23,34,37,35,-40,34,15,303,263,31
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,37,32,31,-38,28,32,33,18,19,37,305,267,32
GER,9224,Konrad Otto,Martin Lietz,SG SEEBURG,31,29,30,16,35,25,34,37,-44,32,313,269,33
GER,9144,Jürgen Anton,Ulf Denecke,HSC,(45)DNC,45DNC,45DNC,13,26,34,36,32,27,13,316,271,34
GER,8806,Anna Hauschild,Anja Stengel,SCS,38,35,26,29,39,35,30,34,-41,18,325,284,35
GER,9054,Wilhelm Wollenbecker,Hermann Wollenbecker,YCBTF,(45)DNC,45DNC,45DNC,27,13,26,17,36,38,38,330,285,36
POL,8875,Dariusz Konopczak,Pawel Henszke,CZ Szczecin,32,33,32,36,-40,40,24,26,39,30,332,292,37
GER,9141,Robert Bautz,Paul Wedeleit,ASVZR,35,(45)DNC,36,30,38,39,43,15,23,39,343,298,38
GER,9195,Dirk Penno,Michael Freitag,DTYC,25,28,35,40,-42,42,41,42,21,29,345,303,39
GER,8458,Olaf Oberländer,Mathias Jäkel,ASVZR,28,34,33,34,32,41,38,39,-43,25,347,304,40
GER,8932,Christian Henge,Katja Henge,MSC,(45)DNC,36,40,43,37,36,39,38,30,41,385,340,41
GER,8531,Anna Lienau,Johannes Kindermann,HSC,(45)DNC,45DNC,38,41,44,38,40,33,33,35,392,347,42
GER,9123,Martin Bernauer,Enno Wilts,CKA,(45)DNC,45DNC,39,44,43,44,42,43,40,34,419,374,43
GER,8964,Iris Anton,Bruno Laudage,HSC,36,(45)DNC,45DNC,42,41,43,44,44,42,40,422,377,44
