Nation,Sejlnummer,Hold,Crew,Klub,R1,R2,R3,Total,Nr.
DEN,9181,Jørgen Bojsen-Møller,Jens Bojsen-Møller,Hellerup Sejlklub,1,1,1,3,1
SWE,9222,Tomas Franzen,Gustav Franzén,Råå Jolleklubb,6,,,6,2
GER,9169,Tim Böger,Markus Schöner,HSC,5,4,2,11,3
GER,9230,Wolfgang Hunger,Holger Jess,PYC,4,3,4,11,4
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,2,6,6,14,5
GER,9135,Jens Biederer,Jan Reifferscheidt,HSC,7,2,7,16,6
DEN,9109,Hans Genefke,Søren Hjorth,HS,16,,,16,7
GER,9070,Stefan Köchlin,Andreas Achterberg,SVS,10,5,3,18,8
DEN,9118,Nikolaj Hoffmann Buhl,Christian Limbrecht Mogensen,Hellerup Sejlklub,18,,,18,9
SWE,8923,Lars Hultgren,Axel Hultgren,RJK,3,8,11,22,10
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,13,7,5,25,11
DEN,8440,Mads Christiansen,Jakob Karboe,Aalborg Sejlklub,9,9,9,27,12
DEN,9128,Poul Aunsholm,Henrik Buhl,Hellerup Sejlklub,8,12,8,28,13
DEN,8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,11,10,10,31,14
DEN,8827,Klaus Søndergaard,Torben Pihl,Holbæk Sejlklub,12,13,12,37,15
DEN,8828,Mike Rasmussen,Anders Damsgaard,Sejlklubben Neptun Vejle,14,14,13,41,16
SWE,8900,Mats Bylander,Jonas Palmkvist,Malmö Segelsällskap,17,11,14,42,17
DEN,8677,Rasmus Andersen,Lars Henrik Andersen,Aalborg Sejlklub,15,15,15,45,18
