Nation,Number,Helm ,Crew ,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pts,place
CAN,8970,Bob Tennant,Rich Mundell,ROYAL VICTORIA YACHT,57,32,25,SCP,41,41,181,34
AUS,8920,Jeffrey Robinson,Bryce Penfold,TASC AUS,52,31,32,44,61,29,188,35
USA,8084,Aaron Ross,Rob Watermann,ALAMITOS BAY YACHT C,68,55,33,29,40,32,189,36
FRA,8909,Francis Doerenbecher,Philippe Wolff,C N DE SCIEZ,50,47,34,33,36,42,192,37
SUI,9060,Catherine Houriet,Gil Donze,YACHT CLUB DE GENEVE,23,41,64,40,45,47,196,38
FRA,9068,Francois De Lisle,Herve Brillaud,C N FERRET,55,45,DNF,21,59,30,210,39
FRA,9099,Alain Karadjian,Cyril Thibaud,CVSQ,45,48,40,26,51,DSQ,210,40
FRA,9024,Claude Gachet,Kleber Valery,YC Grenoble Chara.,56,28,50,60,31,45,210,41
RSA,8719,Mark Biaglo,Warwick Ham,PRETORIA SAILING CLU,41,42,45,41,84,44,213,42
FRA,8509,Bastian Le Morvan,Pierre Bessias,ASPTT TROYES,62,43,37,46,44,57,227,43
FRA,9019,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,34,35,65,50,56,53,228,44
FRA,8900,Serge Gubri,Jean Luc Muzellec,C V SEINE-PORT,69,60,48,28,35,60,231,45
DEN,8828,Van Wonterghem Michael,Fabiola Van Wonterghem,SOROSEJLFORENING DEN,43,72,43,51,58,36,231,46
USA,8831,Gary Lee,Paul Von Grey,MISSION BAY YACHY CL,54,56,39,DNF,37,49,235,47
FRA,8847,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,53,54,52,35,67,43,237,48
GBR,8963,Martin Hodgson,Adrian Miles,STONE SAILING CLUB G,51,26,21,DNF,21,DNF,238,49
GER,9026,Hasso Plattner,Peter Alarie,KIEL GER,37,SCP,24,DNF,33,DNF,251,50
GBR,8694,Jeremy White,Matt Isherwood,DRAYCOTE SC GBR,76,52,74,32,68,39,265,51
FRA,8902,Gerard Tilly,Xavier Tilly,A.S.N. PERROS,42,53,68,58,62,50,265,52
GBR,8945,Nell Rabbitts,Adam Kenney,BURTON SC GBR,DNF,DNF,31,36,49,38,273,53
LUX,8934,Elisabeth Speyer,Pierre Kieffer,YCL LUX,24,67,75,DNF,60,51,277,54
FRA,8885,Jean Baptiste Dupont,Jean Claude Ancelot,CV PARIS,28,49,63,65,73,76,278,55
AUS,8855,Mark Stowell,Shane Attwell,ROYAL FRESCWATER BAY,39,DNF,41,DNF,46,35,280,56
FRA,8773,Philippe Markt,Gael Conversy,Y C BEAULIEU,47,66,72,52,54,62,281,57
FRA,8802,Pascal Viaud,Alban Viaud,S R ROCHELAISES,66,76,57,43,DNF,46,288,58
GBR,8432,Alistair Colvin,Alan Moss,LOCH LOMOND SAILING ,67,62,60,DNF,48,52,289,59
FRA,8676,Valentin Dechauffour,Pierre Gendry,S N O NANTES,79,82,38,63,47,70,297,60
FRA,8677,Nicolas Michel,Charles De Kergariou,C V A N NANTES,70,61,DNF,56,57,54,298,61
FRA,8971,Thierry Daguzan,Arnaud Poirier,S R ROCHELAISES,77,73,OCS,48,69,37,304,62
GER,9000,Enno Wilts,Pia Matscheroth,OSG GER,74,51,67,47,76,66,305,63
GER,8990,Frieder Achterberg,Wolfgang Stuecki,DTYC GER,29,DNF,DNF,DNF,29,13,309,64
CAN,8755,Brian Trainor,Evan Jennings,KITSILANO YACHT CLUB,65,SCP,49,70,79,64,310,65
FRA,8755,Nicolas Guillou,Henry Chevet,S N P H,61,40,54,38,DNF,DNF,312,66
FIN,8768,Jukka Nieminen,Antti Salonen,SP FIN,DNF,DNF,28,DNF,27,21,314,67
FRA,8564,Sylvain Ratouis,Antoine Ratouis,B N DE SCIEZ,58,58,84,61,66,71,314,68
FRA,9056,Yves Niddam,Melissa Ferrois,Y C BEAULIEU,73,50,82,55,82,63,323,69
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,CVML,49,64,51,DNF,43,DNF,326,70
FRA,8567,Pierre-Jerome Coulmin,Vincent Peter,WIND 14,90,86,59,39,77,69,330,71
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,U S TROPEZIENNE,DNF,DNF,71,54,50,40,334,72
FRA,8950,Eric Quemard,Antoine Victor,CV PARIS,72,65,87,67,72,58,334,73
USA,6931,Stine Cacavas,Bill Mc Kinney,WSASMB USA,91,DNF,70,45,75,59,340,74
FRA,9084,Jacques Dechauffour,Sabine Dechauffour,S N O NANTES,71,59,92,DNF,63,55,340,75
FRA,8566,Olivier Thiberge,Herve Guezennec,CV PARIS,82,77,98,57,65,61,342,76
FRA,8640,Simon Chartier,Thomas Chartier,S N S T,89,84,53,DNF,71,48,345,77
DEN,8958,Nikolaj Buhl,Hewrik Buhl,HELLE RUP DEN,44,13,56,DNF,DNF,DNF,351,78
AUS,8943,Brett Bowden,John McLean,ROYAL BRIGHTON YACHT,92,78,79,53,70,73,353,79
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,SSAV SWE,75,46,66,49,DNC,DNF,355,80
RSA,8486,Thomas Funke,Peter Funke,PYC RSA,40,44,36,DNF,DNC,DNF,358,81
FRA,8880,Jose Mendes,Emmanuel Mouclier,CVML,60,75,DNF,66,81,82,364,82
GER,6817,Ralf Schneidewind,Oliver Schurmann,SLRV GER,81,83,95,69,74,74,381,83
GBR,8726,Fergus Duncanson,Graham Moss,LOCH LOMOND SAILING ,86,70,83,DNF,78,72,389,84
FRA,8699,Jean Philippe Ducros,Stanislas Rault,CVML,83,93,81,62,87,81,394,85
FRA,8326,David De Monteil,Aymeric Essertel,S R ROCHELAISES,95,DSQ,90,59,92,68,404,86
FRA,8748,Samuel Carvallo,Sebastien Rauly,C N HAUTE SEINE,84,81,86,64,90,DNF,405,87
FRA,8032,Riwanon Le Roy,Nayl Driss,ASN QUIBERON,DNF,91,94,71,93,65,414,88
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,SSAV SWE,64,71,DNF,DNC,83,79,416,89
FRA,9064,Paul Bendiyan,Georges Bendiyan,A C D'ALSACE LORRAIN,80,79,100,DNC,89,78,426,90
FRA,8139,Frederic le Delaizir,Leo le Delaizir,C N CASTELNAUDARY,102,88,93,72,91,83,427,91
BEL,9064,Philippe Vandersteen,Yannick Maheux,SNEH BEL,85,80,91,DNC,80,SCP,430,92
FRA,8733,Luc Gellusseau,Olivier Caris,CNPA ILE DE RE,DNF,63,76,DNF,DNC,SCP,438,93
FRA,9081,Robert Lehmann,Bernard Edel,A C D'ALSACE LORRAIN,87,69,80,DNF,85,DNF,440,94
GER,8825,Michael Troch,Eckart Koenig,SGJ GER,DNF,DNF,42,42,DNC,DNF,441,95
FRA,8871,Alain Preel,Michel Laugerotte,C.V.S.A.,93,90,77,DNF,95,88,443,96
FRA,8484,Philippe Blanchard,Florent Duplouy,A C D'ALSACE LORRAIN,63,68,DNF,DNC,DNF,77,446,97
FRA,9010,Gilles Carvallo,Claire Carvallo,C N HAUTE SEINE,48,74,88,DNF,DNC,DNF,448,98
FRA,8717,Eric Vassor,Pierre Yves Chene,USAM Voile Brest,DNF,DNF,73,DNF,64,80,455,99
GBR,8860,Bobbie Johnson,Tony Merry,BURTON SC GBR,DNF,DNF,78,DNF,86,67,469,100
AUS,8855,Marcos Vivian,Soggy Pidsley,RFBYC AUS,94,89,DNF,DNF,52,DNF,473,101
FRA,8140,Philippe Bradfer,Camille Bradfer,C Y V PARELOUP,101,96,99,DNC,94,87,477,102
FRA,8429,Jean Charles Zimmowitch,Romaric Zimmowitch,V G A ST MAUR VOILE,96,87,97,DNF,DNF,84,483,103
FRA,8704,Lawrence Banahan,Gilles Casanova,C N Saint-Raphael,88,85,85,DNC,DNC,DNF,496,104
FRA,8400,Charles Morin,Thibaud Delaunay,CV ST AUBIN ELBEUF,103,97,101,DNF,DNF,86,506,105
AUS,8817,Douglas Hagan,Mickael Duffield,AUS,DNF,DNF,DNF,DNF,34,DSQ,510,106
FRA,7396,Thomas Soinard,Jean-Claude Soinard,CVML,98,94,DNF,DNF,DNF,85,515,107
FRA,9014,Louis Gibert,Edith Castillon,C N ANTIBES,97,92,DNF,DNF,88,DNF,515,108
GBR,9093,Tudor Owen,Kieth Borders,WHITSTABLE YACHT CLU,46,DNF,DNF,DNF,DNF,DNF,522,109
FRA,4479,Jean-Charles Cadoret,Pascal Coquelet,N C MONTARGIS,100,95,96,DNF,DNF,DNF,529,110
BEL,9066,Geert De Pauw,Koen Jourquin,NUV BEL,DNF,DNF,58,DNF,DNC,DNF,534,111
BEL,8742,Frederic Decoq,Gilles Bernon,SNEH BEL,DNF,DNF,62,DNF,DNC,DNF,538,112
FRA,7235,Philippe Veron,Fabien Pascal,C.N. VIRY CHATILLON,99,DNF,89,DNC,DNC,DNF,545,113
FRA,8949,Philippe Duquesne,Laurent Duquesne,S N O NANTES,DNF,DNF,DNF,DNF,DNF,75,551,114
FRA,8980,Michel Boiry,Ivan Doerenbecher,CV PARIS,78,DNF,DNF,DNF,DNC,DNC,554,115
FRA,0,Luc Vocanson,Thierry Muniglia,CVML,DNF,DNF,DNF,DNF,DNC,DNF,595,116
GER,8533,Roger Bussenius,Robert Bussenius,SCOH GER,DNF,DNF,DNF,DNF,DNC,DNF,595,116
GER,9071,Wolfgang Hunger,Julien Kleiner,PYC GER,DNF,DNF,DNF,DNF,DNC,DNF,595,116
