Nation,Number,Helm ,Crew ,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pts,place
USA,9080,Howard Hamlin,Andy Zinn,NHYC USA,14,2,3,4,6,2,17,1
DEN,8964,Jan Saugmann,Martin Gorge,HELLERUP DEN,10,5,7,8,1,7,28,2
GER,9090,Christian Kellner,Martin Schoeler,HSC GER,17,9,4,9,4,8,34,3
USA,8808,Augie Diaz,Luke Lawrence,CORAL REEF YACHT CLU,3,1,8,11,12,DNF,35,4
GBR,9094,Ian Pinnell,Ian Mitchell,HISC GBR,30,12,1,1,19,3,36,5
FRA,9075,Philippe Boite,Pierre Jean Gallo,CVSQ,2,14,11,5,22,4,36,6
GBR,9057,Chris Lewns,Dan Parsons,WHITSTABLE YACHT CLU,1,3,12,DNF,13,9,38,7
GER,8875,Jens Findel,Johannes Tellen,KIELER YACHT CLUB GE,6,18,2,2,10,DNF,38,8
GER,9035,Stefan Bohm,Gerald Roos,SCV GER,11,16,20,6,3,5,41,9
USA,9002,Mike Holt,Rob Woelfel,SANTA CRUZ YC USA,33,25,5,10,2,1,43,10
USA,9007,Tyler Moore,Geoff Ewenson,HYC/WYC USA,9,8,10,24,14,14,55,11
GBR,9088,Andy Smith,Tim Needham,NOTTS COUNTY SC GBR,15,20,9,SCP,5,DNF,57,12
FRA,9067,Bertrand Loyal,Clement Pequin,C N MESCHERS,31,19,14,7,7,10,57,13
USA,8083,Matthew Barry,Thomas Barrows,YALE CORINTHIAN YACH,16,6,29,12,9,20,63,14
USA,8722,Macy Nelson,Parry Barclay,WEST RIVER USA,5,22,16,15,18,11,65,15
USA,8715,Ethan Bixby,Christopher Brady,ST PETERSBURG YC USA,4,17,13,25,17,15,66,16
AUS,9036,Michael Quink,Daryl Roos,WSC AUS,18,7,30,DNF,16,6,77,17
GER,8975,Alexander Holzapfel,Stefan Worm,POST SPORTVEREIN KOB,13,11,46,17,20,18,79,18
SUI,9096,Cedric Bart,Laurent Grob,CVB SUI,8,27,23,14,32,17,89,19
FRA,9050,Herve De Kergariou,Basile Geron,CN ARRADON,25,10,17,DNF,25,12,89,20
GER,8940,Martin Kittsteiner,Oliver Stieglite,HSC GER,19,23,69,22,8,28,100,21
GER,9011,Micki Daisenberger,Jonas Nissen,DTYC GER,26,4,55,19,30,23,102,22
SUI,8954,Ueli Marti,Philippe Jacot,CLUB NAUTIQUE BEVAIX,35,24,22,16,28,16,106,23
FRA,8904,Nicolas Martin,Julien Lafortune,C V SEINE-PORT,7,15,35,68,26,25,108,24
FRA,8716,Aline Martin,Fabrice Toupet,C V SEINE-PORT,20,DNF,27,27,15,22,111,25
USA,9009,Bruce Edwards,David Shelton,SANTA CRUZ YACHY CLU,32,36,18,18,24,19,111,26
FRA,8515,Nicolas Croce,Florian Faucheux,C N CANET PERPIGNAN,27,34,19,20,23,24,113,27
AUS,8801,Peter Chappell,David Castles,ROYAL FRESHWATER BAY,36,30,26,13,39,34,139,28
AUS,9028,Earle Alexander,Darren Gilbert,ROYAL QUEENSLAND YAC,22,37,47,31,38,26,154,29
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,21,29,44,30,53,31,155,30
SWE,8926,Ebbe Rosen,Olle Wenrup,MALARHOJDENS KANOSAL,12,21,6,DNF,11,DNS,169,31
USA,9027,Hubert Guy,Erwan Grossmann,ABYC USA,59,38,SCP,23,55,33,169,32
FRA,9012,Arnaud Dini,Guillaume Thery,YCPR Marseille,38,39,61,34,42,27,180,33
