Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,position
DEN,8727,Jørgen Schönherr,Anders Friis,KJS,,,,,,,,1
SWE,8232,Ebbe Rosén,Olle Wenrup,Mai Arhojd,,,,,,,,2
DEN,8656,Jan Møller,Jacob Bojsen-Møller,HS,,,,,,,,3
SWE,8719,Jakob Lindvall,Kalle Byrenius,NSS,,,,,,,,4
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,,,,,,,,5
DEN,8474,Per Larsen,Henrik Andersen,Farum,,,,,,,,6
DEN,8622,Tom Bøjland,Jonas Christiansen,Farum,,,,,,,,7
DEN,8377,Anders Høj Christensen,Peter Høj Christensen,HVID,,,,,,,,8
DEN,8365,Martin Frederichsen,Jens Henrik Haahr,ASK,,,,,,,,9
DEN,8581,Jon Andersen,Lasse B. Andersen,REESO,,,,,,,,10
