W,N,Helm,Kg,Crew,Kg,Wt. Jckt,Hull,Mast,Foils,Main,Jib,Spinnaker,Sail #
1,1,Jeremy Robinson,60,Bill Masterman,104,N,Rondar,M2,Rondar,Sobstad,Sobstad,Sobstad,GBR 8481
2,22,Krister Bergström,73,Tomas Moss,85,Y,Rondar,D,M&W,Rebel,Rebel,Rebel,SWE 8475
3,5,Ebbe Rosén,73,Olle Wenrup,81,N,Waterat,D,Waterat,Rebel,Rebel,P & B,SWE 8232
4,44,Mike Holmes,72,Paul Young,90,N,Rondar,D,Rondar,P & B,P & B,P & B,GBR 8585
5,13,Tyler Moore,72,Ryan Cox,77,Y,Waterat,D,Waterat,North,North,Hyde,USA 7876
6,4,Kalle Nilsson,73,Johan Arvedson,92,Y,Rondar,D,Waterat,Rebel,Rebel,Green,SWE 8551
7,23,Geoff Carveth,74,Ian Mitchell,88,N,Rondar,D,Rondar,P & B,P & B,P & B,GBR 8464
8,14,Hector Cisneros,64,Lawrence Crispin,89,Y,Kyrwood,D,Bloodaxe,North,North,Hyde,GBR 8377
9,19,Nick Trotman,75,Mike Mills,86,N,Lindsay,D,Lindsay,Danger,Danger,Danger,USA 7318
10,26,Peter Colclough,74,Ben Colclough,68,Y,Kyrwood,D,Winder,Hyde,Hyde,Hyde,GBR 8050
12,9,Howard Hamlin,73,Mike Martin,86,Y,Waterat,D,Waterat,Danger,Danger,Danger,USA 8266
16,10,Malcolm Page,75,David Page,87,Y,Kyrwood,Goldspr,Galagher,Olympic,Olympic,Olympic,AUS 8500
