Nation,boat,helm,crew,club,Race 1,Race 2,Race 3,Race 4,t,p
GBR,8481,Jeremy Robinson,Bill Masterman,,3,31,3,1,"11,4",1
SWE,8475,Krister Bergström,Thomas Moss,,2,2,28,3,"11,7",2
SWE,8232,Ebbe Rosén,Olle Wenrup,,1,9,2,72,18,3
GBR,8585,Holmes,Young,,10,1,7,17,29,4
USA,7876,Tyler Moore,Ryan Cox,,7,81,5,7,36,5
SWE,8551,Nilsson,Johan Arvedson,,8,25,YMP,9,"43,5",6
GBR,8464,Carveth,Ian Mitchell,,6,4,33,10,"45,7",7
GBR,8377,Hector Cisneros,Lawrence Crispin,,34,3,15,14,"46,7",8
USA,7318,Nick Trotman,Mike Mills,,9,7,24,15,49,9
GBR,8050,Peter Colclough,Ben Colclough,,21,17,1,54,50,10
DEN,8389,Rasmus Damsgaard,Søren Overbeck,,19,6,11,16,"50,7",11
USA,8266,Howard Hamlin,Mike Martin,,18,54,18,2,51,12
DEN,8566,Jørgen Bojsen-Møller,Jorgen Mellerup,,13,8,12,31,51,13
USA,8191,Macy Nelson,Peter Alarie,,35,32,4,8,60,14
CAN,8263,Alexander Meller,Fry,,11,34,20,12,61,15
AUS,8500,Page,Page,,20,15,16,24,69,16
FRA,8382,Eric Petit,Richard Lefevre,,40,26,9,19,72,17
GER,8575,Joachim Hellmich,Rolf Meyer,,53,13,40,4,73,18
GER,8539,Martin Görge,Rainer Görge,,31,14,14,66,77,19
AUS,8559,Alex Higgins,Wilsdon,,14,42,65,5,78,20
GBR,8552,Mark Upton-Brown,Nigel John Vooght,,28,10,23,44,79,21
DEN,8082,Kim Christensen,Jens Langendorf,,16,5,42,49,80,22
USA,8013,Mike Punnet,Scott Ikle,,27,52,29,10,84,23
FRA,8063,Marcel Buffet,Roucayrol,,80,29,8,34,89,24
GBR,8432,Debbie Jarvis,Andy Harrop,,12,49,38,23,91,25
DEN,8579,Tom Bøjland,Philip Christiani,,32,16,27,37,93,26
GBR,8416,Ian Montague,Beasley,,25,50,17,33,93,27
GBR,8521,Paul Towers,Dan Johnson,,4,DSQ,6,75,"100,7",28
GBR,8555,David Smithwhite,Peters,,26,36,22,39,102,29
SWE,7956,Mikael Ahrbom,Thurell,,73,47,13,29,107,30
SUI,8569,René Betschen,Philippe Jacot,,22,27,51,41,108,31
GER,8580,Tim Boger,Holger Jess,,17,40,35,51,110,32
FRA,8402,Philippe Boite,Jean-Luc Muzellec,,29,53,19,45,111,33
AUS,8455,Dean Blatchford,Jayson Field,,24,78,60,11,113,34
GER,8477,Stefan Böhm,Roos,,33,35,31,52,117,35
GER,8388,Christian Kellner,Achterberg,,49,18,43,40,119,36
GER,8519,Sebastian Dörr,Christian Dörr,,54,21,32,86,125,37
GBR,8511,Robin Boardman,John Ironmonger,,DNC,22,34,53,127,38
SUI,8543,Bart Cédric,Jean-Philippe Senn,,46,19,61,46,129,39
SUI,8459,Duvoisin,Ueli Marti,,41,43,79,27,129,40
GBR,8556,Richard Tew,Simon Hiscooks,,77,33,70,13,134,41
FRA,8400,Nigon,Jouany,,51,39,26,79,134,42
GBR,8497,Mike Holt,Neil Fulcher,,PMS,20,36,62,136,43
GBR,8510,Ian Barker,Daniel Cripps,,5,DSQ,47,69,138,44
GBR,8244,Tim Rush,Ian Godfrey,,15,80,37,68,138,45
GBR,8378,Martin Hodgson,Macleod,,38,44,56,33,138,46
BEL,8553,Paul Gorremans,Noclain,,87,28,10,92,143,47
SUI,8486,Simone Zuend,Michel Rotache,,76,24,78,25,143,48
GBR,8379,Gareth Edwards,Summersgill,,44,55,67,26,143,49
GBR,8508,Sam Neal,Simon Dabson,,30,74,30,65,143,50
RSA,8584,Nigel Milln,Haacke,,75,12,41,RET,146,51
AUS,8557,Neil Long,Darren Nicholson,,50,91,57,21,146,52
AUS,8549,Duncan Matthew,Taylor,,RET,11,59,59,147,53
DEN,7934,Fredsted,Larsen,,60,23,52,73,153,54
GBR,8495,Dave Peacock,Sutherland,,69,30,83,36,153,55
GER,8542,Volker Gorge,Rahtjen,,43,69,50,43,154,56
GBR,8507,Vernon Ralston,Simon Spratt,,47,46,45,63,156,57
SUI,7953,Adrian Zaugg,Urs Rothacher,,DSQ,57,25,58,158,58
GBR,8483,Ian Robson,Palmer,,36,38,72,74,164,59
SUI,8440,Urs Scherrer,Beat Waser,,70,37,69,42,166,60
GBR,8493,Chris Dando,O'Dwyer,,37,63,48,78,166,61
FRA,8321,Ces,Ces,,72,58,21,87,169,62
RSA,8522,Warne,Collins,,81,66,86,6,170,63
GER,8049,Johan Backsin,Carr,,61,59,39,56,172,64
SUI,8586,Caroline Stolz,Duvoisin,,66,51,44,89,179,65
GER,8385,Martin Bernauer,Karsten Morf,,85,38,62,16,183,66
GBR,8306,Robinson,Cawthorn,,45,76,49,93,188,67
SUI,8544,B. Wernli,Renker,,42,RET,DSQ,22,189,68
GBR,8269,McGeorge,Forgie,,56,65,66,50,189,69
AUS,8499,Dixon,Pip Pearson,,88,68,76,30,192,70
GBR,8489,Longstaff,Ward,,23,75,81,77,193,71
FRA,8362,Alain Boite,Fabrice Toupet,,59,60,58,85,195,72
GER,8560,Balters,Hartwig Friedericks,,57,48,73,80,196,73
GBR,8429,Robert Napier,Kimball Morrison,,68,82,53,57,196,74
AUS,8577,Searant,Noble,,62,92,82,35,197,75
AUS,8547,Carter Jackson,Williams,,RET,67,84,28,197,76
SUI,8515,Chablais,Renevey,,79,64,71,47,200,77
