Nation,Number,Helm,Crew,,R1,R2,R3,R4,R5,Points,#
GBR,4079,Hugh Bourn,Paul Deschamps,,1,4,57,4,5,26p,1
FRA,4122,Serge Guillaume,,,9,6,15,?,4,34.7p,2
SWE,3991,Christer Båth,Pelle Båth,,2,10,7,3,11,37.7P,3
GBR,3885,Mike Derry,David Gallimore,,3,8,16,14,1,39.7p,4
FRA,4170,Marc Bouet,Bouet,,8,5,23,2,U,56p,5
MAR,3851,Pierre Tepley,Susanne Tepley,,48,2,4,13,26,62p,6
GBR,4131,D. White,N. Chapman,,,,,,,,7
FIN,4008,K. Wilén,J. Wilén,,,,,,,,8
GBR,4063,P. White,J. Davis,,,,,,,,9
GBR,4117,J. Thompson and M. Nott,,,,,,,,,10
SWE,3956,Thörner,Thörner,,4,13,36,U,12,87p,12
GBR,3559,Elford,Pyecroft,,,,,,,,17
,,Turgoose,Dover,,,,,,,,19
GBR,3873,Locke,Wilton-Smith,,,,,,,,20
SWE,3323,Olsson,Olsson,,16,21,33,U,25,119P,22
GBR,4149,John Donnelly,Martin Auger,,,,,,,,23
GBR,4082,Farrant,Farrant,,,,,,,,26
SWE,4132,Källfelt,Kopp,,22,32,58,11,41,130P,28
SWE,3817,Hagman,Carlsson,,67,36,11,36,23,130P,29
SWE,3875,Knape,Knape,,32,60,60,8,10,134p,30
SWE,3639,Sjöström,Andersson,,38,14,24,42,U,142p,34
SWE,3992,Forssell,Anderberg,,47,7,40,29,56,147P,36
SWE,3993,Necander,Heijl,,30,U,41,23,33,151P,37
SWE,3420,Heuman,Heuman,,29,47,63,58,9,167p,40
SWE,3858,Nilsson,Lindström,,64,16,35,55,40,170p,42
SWE,3661,Flood,Nilhausen,,44,67,80,12,30,177p,44
SWE,4130,Pettersson,Pettersson,,46,56,38,35,36,179p,45
SWE,3816,Bengtsson,Gråberg,,63,U,29,18,48,182p,47
SWE,3702,Eckeström,Calvert,,52,57,61,37,57,227P,66
SWE,3723,Kihlmark,Arnborg,,U,U,47,32,47,232P,67
SWE,4056,Andersson,Andersson/Wånghed,,61,63,76,U,61,285p,80
