Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,7,2,2,2,1,1,15,,1
FRA,8541,"Francis Doerenbecher","Aubin Doerenbecher",CNS,1,1,6,1,4,12,25,,2
FRA,8455,"Marcel Buffet","Gael le Mauguen",CVP,2,9,1,7,2,2,23,,3
FRA,8484,"Philippe Blanchard","Carole Blattner",ACAL,3,4,3,5,6,3,24,,4
GER,8621,"Stephan Schweiger","Johannes Schmederer",SCLW,5,8,10,4,3,8,38,,5
FRA,8748,"Alain Serias","Gilles Carvallo",ACAL,4,5,8,9,5,11,42,,6
FRA,8635,"Jean-Baptiste Dupont","Christian Vallaud",AS,9,6,9,6,8,6,44,,7
FRA,8770,"Jean-Marc Noclain","Jerome Bourgoin",CVA,"DNF 20",12,7,3,9,5,56,,8
FRA,8352,"Philippe Noclain","Jean-Pierre Noclain",CVA,6,7,16,13,7,4,53,,9
FRA,8301,"Bernard Blondy","Roger Chabaud",CVA,"DNF 20",11,5,10,10,7,63,,10
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,10,10,14,12,12,9,67,,11
GER,8642,"Thoralf Greger","Matthias Schmederer",ASVG,"DNC 20",3,4,8,"DSQ 20","OCS 20",75,,12
GER,8658,"Christina Höll","Anna Höll",HSC,11,14,12,11,11,"DNC 20",79,,13
FRA,8415,"Alfred Grosheny","Bertrand Grosheny",YCS,8,13,11,"DNF 20","DNC 20","DNC 20",92,,14
FRA,8496,"Charles Frigaux","Fabien Lantz",YCD,12,15,15,"DNC 20","OCS 20",10,92,,15
GER,7778,"Dirk Frank","Wolfgang Werkle",SCS,13,16,13,"DNC 20","DNC 20","DNC 20",102,,16
GER,8330,"Oliver Koch","Markus Klos",SCBO,14,17,17,15,"DNC 20","DNC 20",103,,17
FRA,8362,"Bernard Edel","Patrick Husselstein",ACAL,"DNF 20","DNF 20","DNC 20","DNF 20",13,"DNC 20",113,,18
FRA,8688,"Robert Lehmann","Richard Wolff",ACAL,"DNC 20","DNC 20","DNC 20",14,"DNC 20","DNC 20",114,,19
