,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Place
GER,8862,Stefan Böhm,Gerald Roos,SCV,1,1,1,1,,1
GER,8775,Carsten Engel,Tobias Neumeyer,PSVK,4,2,2,2,,2
GER,8609,Alexander Holzapfel,Stefan Worm,PSVK,2,3,4,6,,3
GER,8772,Ronald Roos,Kirsten Roos,SVWu,5,4,3,3,,4
GER,8441,Rainer Gerdes,Frank Scheel,SSCK,3,3,5,5,,5
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,6,5,6,4,,6
GER,8560,Christiane Giefers,Thorge Holm,SVPB,7,6,DNF,DNC,,7
