,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8875,Jens Findel,Johannes Tellen,KYC,2*,1,2,1,4,1
GER,8478,Malte Christophersen,Sebastian Salein,KAR,1,2,3*,2,5,2
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,3,BFD 11*,1,3,7,3
GER,8904,Jan Forster,Daniel Wehden,SGaM,8*,4,4,4,12,4
GER,8880,Meike Schomäker,Robert Rothe,ZSK,5,3,6,DNC 11*,14,5
GER,8550,Martha Hauschild,Michael Heyder,SCS,7*,5,5,6,16,6
GER,8686,Christian Niefert,Thomas Weber,BSV,4,BFD 11*,7,7,18,7
GER,8560,Christiane Giefers,Thorge Holm,SVPB,9*,6,8,5,19,8
GER,8483,Ingvild Buchholz,Wolfgang Buchholz,SBF,10*,7,9,8,24,9
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,6,BFD 11*,OCS 11,DNC 11,28,10
