Segelnummer,,Besättning,,Klubb,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Netto,Placering
SWE,9002,Per Wester,Lars Wester,BKSS,1,5,1,[5],1,1,4,18,13,1
SWE,8801,Peter Bökmark,Martin Persson,BKSS,[5],1,3,1,4,3,3,20,15,2
SWE,9181,Malin Broberg,Agneta Engström,BKSS,2,4,2,2,6,2,[10],28,18,3
SWE,8859,Tomas Berg,Johan Calvert,SS Kaparen,4,2,6,4,2,[8],7,33,25,4
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,3,3,4,3,8,4,[9],34,25,5
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,10,[10],7,6,3,9,2,47,37,6
SWE,8651,Peter Andersson,Per-Eric Thörnström,SS Viken-Ägir,6,[15],9,7,13,6,5,61,46,7
SWE,9117,Fredrik Molander,Tomas Jaxing,BKSS,[9],8,8,8,9,7,6,55,46,8
SWE,9171,Martin Fridh,Mats Dahlander,Råå Jolleklubb,11,13,11,[15],5,10,1,66,51,9
SWE,8974,Thomas Widstrand,Sten Wallin,GKSS,7,11,10,[14],10,14,13,79,65,10
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,SS Åmålsviken,8,6,5,9,[DNC],DNC,DNC,85,66,11
SWE,9029,Joel Jelf,Carl Grindebratt,KSSS,[15],14,12,10,7,12,12,82,67,12
FRA,9014,Alain Dupuis,Patric Wolmersson,BKSS,14,9,13,11,14,11,[15],87,72,13
SWE,8917,Jesper Fowelin,Jonas Wising,Ölmanäs SS,13,7,14,13,[15],15,11,88,73,14
SWE,8945,Tord Lawner,Tomas Gustavsson,BKSS,12,12,[DNF],12,12,13,14,90,75,15
SWE,9107,Fredrik Hansson,Sven Flood,LeSS & BKSS,DNS,DNS,DNS,[DNS],11,5,8,100,81,16
BEL,8773,Karin Hårding,Fredrik Wigelius,Kungälvs MSS,DNS,DNS,DNS,[DNS],DNF,16,16,125,106,17
GER,8798,Matthias Konrad-Schmolke,,Klub am Rupenhorn,16,DNS,DNS,[DNS],DNC,DNC,DNC,130,111,18
