Nationsbeteckning,Segelnummer,HelmName,CrewName,Klubb,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
DEN,8801,Peter Bökmark,Martin Persson,BKSS,1,-4,1,2,1,1,10,6,1st
SWE,9181,Malin Broberg,Johan Röök,Bkss,-3,2,2,1,2,2,12,9,2nd
SWE,9143,Thomas Lundberg,Oskar Lundberg,KSSS,(11.0 DNC),3,3,3,3,3,26,15,3rd
SWE,8586,Sebastian Gransäter,John Tengbom,KSSS,5,(11.0 DNF),4,4,4,4,32,21,4th
SWE,9171,Martin Fridh,Mats Dahlander,Råå jolleklubb,2,1,5,(11.0 DNC),11.0 DNC,11.0 DNC,41,30,5th
SWE,8829,Didrik Dahlström,Joel Jelf,KSSS,(11.0 DNF),11.0 DNC,11.0 DNC,5,5,5,48,37,6th
SWE,9029,Tomas Grundel,Johan Strömdahl,KSSS,4,(11.0 DNC),11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,59,48,7th
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,(11.0 DNS),11.0 DNS,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,66,55,8th
SWE,8585,Carl Grindebratt,David Sandberg,JKV,(11.0 DNC),11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,66,55,8th
SWE,8581,Viktor Wecke,Malin Malmberg,KSSS,(11.0 DNC),11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,66,55,8th
