Nation,Boat,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Race 13,Race 14,Total,After 3 Drops,Position
AUS,9037,Nigel Lott,Bob Franks,,2,1,2,1,1,2,1,2,[2],[2],1,1,1,[7],26,15,1
AUS,8781,Chris Gregg,Ian Gregg,,1,3,1,2,3,3,[4],1,1,1,[3],[7],2,1,33,19,2
AUS,9071,Richard Hyde,Lindsay Gilbert,,[6],2,5,[6],[6],5,5,3,4,3,4,2,3,2,56,38,3
AUS,9074,Earle Alexander,Sam Martel,,3,6,4,4,4,4,3,4,3,4,2,[7],[7],[7],62,41,4
AUS,9061,Kevin Cameron,Josh Mortensen,,4,5,3,3,2,1,2,7,7,7,7,[7],[7],[7],69,48,5
AUS,8809,The Carey Family,,,5,4,6,5,5,[6],[6],5,5,[7],5,3,4,3,69,50,6
