Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
AUS,8781,Chris Gregg,Ian Gregg,,2,1,2,1,1,7,1
AUS,9167,Nigel Lott,Bob Franks,,1,3,1,2,2,9,2
AUS,9074,Earle Alexander,Chris Carey,,3,2,3,3,3,14,3
AUS,9021,Richard Hyde,Lindsay Gilbert,,4,4,5,4,4,21,4
AUS,8738,Damien Byrt,John Black,,5,5,4,7,7,28,5
AUS,8638,Conner Eaton,Chris Eaton,,6,6,6,5,5,28,6
