Country,Sail No,Skipper,Crew,From,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Sers Score,Place
AUS,9059,Christopher Paterson,Thor Schoenhoff,FSC,2.0,[3.0],2.0,1.0,1.0,1.0,FRANKENJESS,7.0,1
AUS,8817,Michael Duffield,Anthony Gaunt,Fsc,1.0,1.0,1.0,[5.0],4.0,4.0,TENSING NORGAY,11.0,2
AUS,8894,Robert Fleming,Chris White,FSC,3.0,[4.0],4.0,2.0,2.0,2.0,BLACK BOAT,13.0,3
AUS,9049,Ryan Sherburn,Jack Joyner,SoPYC,[5.0],2.0,3.0,4.0,3.0,3.0,MANTA,15.0,4
AUS,8855,Nicholas Mariani,Alex Thomson,FSC,4.0,6.0,[10.0R],6.0,6.0,10.0C,EPILEPTIC OCTOPUS,32.0,5
AUS,9192,Mark Stowell, ,Fsc,7.0,[10.0C],10.0S,3.0,5.0,10.0C,PRAWNBROKER,35.0,6
AUS,8667,Grant Abbott,Matthew Till,FSC/MOFSC,6.0,5.0,[10.0R],10.0C,10.0C,10.0C,SWING SHIFT,41.0,7
AUS,1*,Luke Abbott, ,Fsc/mbsc,8.0,7.0,[10.0S],7.0,10.0R,10.0R,DEVILS HAIRCUT,42.0,8
AUS,192*,Jarrod Hazell,Roy Woodcock,FSC,[10.0R],10.0C,10.0C,10.0R,10.0R,10.0C,WET MARKET,50.0,9
