Country,Sail No,Skipper,Crew,Club,Race 1 10 Dec 22,race 2 10 Dec 22,Race 3 10 Dec 22,Race 4 11 Dec 22,Race 5 11 Dec 22,Total,Nett,Pos
AUS,9167,Nigel Lott,Robert Franks,DPSS,[4],3,1,1,1,10,6,1
AUS,8781,Chris Gregg,Ian Gregg,DPSS,2,1,2,2,[5],12,7,2
AUS,9074,Earle Alexander,Josh Mortensen,DPSS,1,[5],3,3,2,14,9,3
AUS,9061,Kevin Cameron,Sam Heritage,DPSS,3,2,[4],4,3,16,12,4
AUS,9071,Richard Hyde,Lindsay Gilbert,DPSS,[6],6,6,5,4,27,21,5
AUS,8809,Brett Buckley,Justin Carey,DPSS,5,4,5,[8 DNC],8 DNC,30,22,6
AUS,8784,Mark Lynch,Taylor Rose,RQYS,7,7,[8 DNF],8 DNC,8 DNC,38,30,7
