Country,Sail No,Skipper,Crew,From,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Sers Score,Place
AUS,8794,Michael Babbage,Darren Gilbert,NCYC,[4],2,1,1,1,3,ALVIN RIDES AGAIN,8,1
AUS,8759,Simon Burt,William Burt,LMYC,1,[3],2,3,2,2,SLIPPERY,10,2
AUS,8840,Michael Gallagher,,CYCA,2,[6],4,5,6,4,MANALIVE,21,3
AUS,8796,Owen Vale,,RPAYC,3,[8],3,6,4,8,SYNCHRONICITY,24,4
AUS,8893,Ryan Menzies,Lucas Geddes,WASC,[12 DNC],5,6,4,3,6,YEAH BUDDY,24,5
AUS,8920,Jeffrey Robinson,,NCYC,[12 DSQ],4,5,8,8,1,ASAP,26,6
AUS,9115,Steve Howden,,PMYC,[12 DSQ],1,12 DSQ,2,5,7,DANCE DONT WALK,27,7
AUS,9071,Richard Hyde,Lindsay Gilbert,DPSS,[12 DSQ],7,7,7,9,5,SWEATY BETTY,35,8
AUS,8764,Evan Guaci,,ST G,[12 DSQ],9,8,12 DNF,7,12 DNF,OSPREY,48,9
AUS,9205,Sam Cronin,Kevin Whitebread,PKSC,[12 DNC],12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,JO,60,10
AUS,9136,Cullen Hughes,,BSC,[12 DNC],12 DNC,12 DNC,12 DNC,12 DNC,12 DNC,WHY NOT,60,10
