Country,Boat Number,Helm,Crew,Club,Race 1,Points,Place
GER,8219,Carsten Hammer,Ralf Meyer,TSVS,,16,1
GER,7589,Adalbert Kluck,Gerhard Schmidt,TSVS,,16,2
GER,7584,Bernd Kowalzig,Claus Tiedemann,SCB,,16,3
GER,7785,Stefan Pavel,Martin Bernauer,RSVW/YCG,,18,4
GER,7781,Andreas Thomsen,Reinhard Schultz,RVE,,20,5
GER,7637,Jörn Erdmann,Sven Harder,NRV/SVWS,,23,6
GER,7548,Hauke Rathjens,Frank Uhlemann,KYC,,23,7
FIN,7652,Petri Ebeling,Esko Aho,HSK,,32,8
GER,6941,Jürgen A. Frommholz,Burghard Vierth,TSVS,,40,9
GER,7691,Ulrich Müller-Menzel,Michael Kieselowa,WSRM,,43,10
GER,7834,Thomas von der Linde,Jan Schmidt,GSC,,43,11
GER,7660,T. Ronrevig,L. Ipsen,,,44,12
GER,7893,Axel Lenderoth,Jo Ellerbeck,SVW,,46,13
GER,7758,P. Vöge,,RSWV,,47,14
GER,7047,T. Raabe,,,,55,15
,0,C. Becker,T. Bogart,TSVS/HSC,,80,16
GER,6817,F. Schmidt,Meike Brausser,,,80,16
GER,7955,Thomas Jundel,Holger Jess,WSCW,,80,16
GER,7528,P. Kersten,,SSC,,80,16
GER,7817,D. Behntke,,,,80,16
